identifier,location,name
kalae-bay,kalae-bay,Kala'e Bay
kalos-route-02,kalos-route-02,Kalos Route 02
kalos-route-03,kalos-route-03,Kalos Route 03
kalos-route-04,kalos-route-04,Kalos Route 04
kalos-route-05,kalos-route-05,Kalos Route 05
kalos-route-06,kalos-route-06,Kalos Route 06
kalos-route-07,kalos-route-07,Kalos Route 07
kalos-route-08,kalos-route-08,Kalos Route 08
kalos-route-09,kalos-route-09,Kalos Route 09
kalos-route-10,kalos-route-10,Kalos Route 10
kalos-route-11,kalos-route-11,Kalos Route 11
kalos-route-12,kalos-route-12,Kalos Route 12
kalos-route-13,kalos-route-13,Kalos Route 13
kalos-route-14,kalos-route-14,Kalos Route 14
kalos-route-15,kalos-route-15,Kalos Route 15
kalos-route-16,kalos-route-16,Kalos Route 16
kalos-route-17,kalos-route-17,Kalos Route 17
kalos-route-18,kalos-route-18,Kalos Route 18
kalos-route-19,kalos-route-19,Kalos Route 19
kalos-route-20,kalos-route-20,Kalos Route 20
kalos-route-21,kalos-route-21,Kalos Route 21
kalos-route-22,kalos-route-22,Kalos Route 22
kiloude-city,kiloude-city,Kiloude City
kindle-road,kindle-road,Kindle Road
kitakami-hall,kitakami-hall,Kitakami Hall
kitakami-road,kitakami-road,Kitakami Road
kitakami-road-cave,kitakami-road,Kitakami Road (Cave)
kitakami-road-prairie,kitakami-road,Kitakami Road (Prairie)
kitakami-road-riverside,kitakami-road,Kitakami Road (Riverside)
kitakami-road-swamp,kitakami-road,Kitakami Road (Swamp)
kitakami-wilds,kitakami-wilds,Kitakami Wilds
kitakami-wilds-lake,kitakami-wilds,Kitakami Wilds (Lake)
kitakami-wilds-prairie,kitakami-wilds,Kitakami Wilds (Prairie)
kitakami-wilds-riverside,kitakami-wilds,Kitakami Wilds (Riverside)
kitakami-wilds-rocky-area,kitakami-wilds,Kitakami Wilds (Rocky Area)
konikoni-city,konikoni-city,Konikoni City
lacunosa-town,lacunosa-town,Lacunosa Town
lake-acuity-hisui,lake-acuity-hisui,Lake Acuity
lake-acuity-sinnoh,lake-acuity-sinnoh,Lake Acuity
lake-of-outrage,lake-of-outrage,Lake of Outrage
lake-of-outrage-den-northeast-end-of-lake-of-outrage-common,lake-of-outrage,Lake of Outrage (Den A - Northeast end of Lake of Outrage - Common)
lake-of-outrage-den-northeast-end-of-lake-of-outrage-rare,lake-of-outrage,Lake of Outrage (Den A - Northeast end of Lake of Outrage - Rare)
lake-of-outrage-den-northwest-of-lake-of-outrage-common,lake-of-outrage,Lake of Outrage (Den B - Northwest of Lake of Outrage - Common)
lake-of-outrage-den-northwest-of-lake-of-outrage-rare,lake-of-outrage,Lake of Outrage (Den B - Northwest of Lake of Outrage - Rare)
lake-of-outrage-den-south-end-of-lake-of-outrage-common,lake-of-outrage,Lake of Outrage (Den C - South end of Lake of Outrage - Common)
lake-of-outrage-den-south-end-of-lake-of-outrage-rare,lake-of-outrage,Lake of Outrage (Den C - South end of Lake of Outrage - Rare)
lake-of-outrage-den-west-end-of-lake-of-outrage-common,lake-of-outrage,Lake of Outrage (Den D - West end of Lake of Outrage - Common)
lake-of-outrage-den-west-end-of-lake-of-outrage-rare,lake-of-outrage,Lake of Outrage (Den D - West end of Lake of Outrage - Rare)
lake-of-outrage-east-of-den-by-shore-with-giants-cap,lake-of-outrage,Lake of Outrage (East of Den by shore with Giant's Cap)
lake-of-outrage-in-north-end-by-shelf-of-land,lake-of-outrage,Lake of Outrage (In north end by shelf of land)
lake-of-outrage-in-south-end-by-shore-with-giants-cap,lake-of-outrage,Lake of Outrage (In south end by shore with Giant's Cap)
lake-of-outrage-in-west-end-by-island,lake-of-outrage,Lake of Outrage (In west end by island)
lake-of-outrage-on-island-east-of-stone-ring,lake-of-outrage,Lake of Outrage (On island east of stone ring)
lake-of-outrage-on-island-on-east-end,lake-of-outrage,Lake of Outrage (On island on east end)
lake-of-outrage-on-island-on-slope-up-from-lake,lake-of-outrage,Lake of Outrage (On island on slope up from lake)
lake-of-outrage-on-island-south-of-stone-ring,lake-of-outrage,Lake of Outrage (On island south of stone ring)
lake-of-rage,lake-of-rage,Lake of Rage
lake-of-the-moone,lake-of-the-moone,Lake of the Moone
lake-of-the-sunne,lake-of-the-sunne,Lake of the Sunne
lake-valor-hisui,lake-valor-hisui,Lake Valor
lake-valor-sinnoh,lake-valor-sinnoh,Lake Valor
lake-verity-hisui,lake-verity-hisui,Lake Verity
lake-verity-sinnoh,lake-verity-sinnoh,Lake Verity
lakeside-cave,lakeside-cave,Lakeside Cave
lakeside-cave-above-junction-of-two-entrances,lakeside-cave,Lakeside Cave (Above junction of two entrances)
lakeside-cave-between-two-rocks,lakeside-cave,Lakeside Cave (Between two rocks)
lakeside-cave-depth-of-cave-next-to-left-rock,lakeside-cave,Lakeside Cave (Depth of cave next to left rock)
lakeside-cave-left-of-cave,lakeside-cave,Lakeside Cave (Left of cave)
lakeside-cave-next-to-lower-entrance-to-ballimere-lake,lakeside-cave,Lakeside Cave (Next to lower entrance to Ballimere Lake)
lakeside-cave-next-to-right-rock,lakeside-cave,Lakeside Cave (Next to right rock)
lava-dome-sanctum,lava-dome-sanctum,Lava Dome Sanctum
lavaridge-town,lavaridge-town,Lavaridge Town
lavender-town,lavender-town,Lavender Town
laverre-city,laverre-city,Laverre City
league-club-room,blueberry-academy,League Club Room
levincia,levincia,Levincia
liberty-garden,liberty-garden,Liberty Garden
lilycove-city,lilycove-city,Lilycove City
littleroot-town,littleroot-town,Littleroot Town
lonely-spring,lonely-spring,Lonely Spring
loop-lagoon,loop-lagoon,Loop Lagoon
loop-lagoon-den-before-gap-in-cliffs-to-ocean-straight-from-shoreline-opposite-courageous-cavern-common,loop-lagoon,"Loop Lagoon (Den A - Before gap in cliffs to ocean, straight from shoreline opposite Courageous Cavern - Common)"
loop-lagoon-den-before-gap-in-cliffs-to-ocean-straight-from-shoreline-opposite-courageous-cavern-rare,loop-lagoon,"Loop Lagoon (Den A - Before gap in cliffs to ocean, straight from shoreline opposite Courageous Cavern - Rare)"
loop-lagoon-den-far-right-of-shoreline-on-island-in-centre-of-lagoon-common,loop-lagoon,"Loop Lagoon (Den B - Far right of shoreline, on island in center of lagoon - Common)"
loop-lagoon-den-far-right-of-shoreline-on-island-in-centre-of-lagoon-rare,loop-lagoon,"Loop Lagoon (Den B - Far right of shoreline, on island in center of lagoon - Rare)"
loop-lagoon-den-halfway-along-rocky-island-left-after-heading-right-at-gap-common,loop-lagoon,"Loop Lagoon (Den C - Halfway along rocky island, left after heading right at gap - Common)"
loop-lagoon-den-halfway-along-rocky-island-left-after-heading-right-at-gap-rare,loop-lagoon,"Loop Lagoon (Den C - Halfway along rocky island, left after heading right at gap - Rare)"
loop-lagoon-den-inner-grassy-part-of-central-island-facing-isolated-shore-common,loop-lagoon,"Loop Lagoon (Den D - Inner grassy part of central island, facing isolated shore - Common)"
loop-lagoon-den-inner-grassy-part-of-central-island-facing-isolated-shore-rare,loop-lagoon,"Loop Lagoon (Den D - Inner grassy part of central island, facing isolated shore - Rare)"
loop-lagoon-east-of-arch-on-central-island-south-of-den,loop-lagoon,"Loop Lagoon (East of arch on central island, south of Den)"
loop-lagoon-eastern-part-of-beach-south-of-entrance-to-courageous-cavern,loop-lagoon,"Loop Lagoon (Eastern part of beach, south of entrance to Courageous Cavern)"
loop-lagoon-in-clearing-south-of-entrance-to-courageous-cavern,loop-lagoon,Loop Lagoon (In clearing south of entrance to Courageous Cavern)
loop-lagoon-northern-beach-east-of-fallen-tree-trunks,loop-lagoon,"Loop Lagoon (Northern beach, east of fallen tree trunks)"
loop-lagoon-northern-beach-northwest-of-fallen-tree-trunks,loop-lagoon,"Loop Lagoon (Northern beach, northwest of fallen tree trunks)"
loop-lagoon-northern-beach-west-of-fallen-tree-trunks,loop-lagoon,"Loop Lagoon (Northern beach, west of fallen tree trunks)"
loop-lagoon-northern-part-of-beach-south-of-entrance-to-courageous-cavern,loop-lagoon,"Loop Lagoon (Northern part of beach, south of entrance to Courageous Cavern)"
loop-lagoon-south-of-arch-on-central-island,loop-lagoon,Loop Lagoon (South of arch on central island)
loop-lagoon-southeastern-part-of-beach-south-of-entrance-to-courageous-cavern,loop-lagoon,"Loop Lagoon (Southeastern part of beach, south of entrance to Courageous Cavern)"
loop-lagoon-western-coast-of-central-island,loop-lagoon,Loop Lagoon (Western coast of central island)
lost-cave,lost-cave,Lost Cave
lost-cave-item-room,lost-cave,Lost Cave (Item room)
lost-hotel,lost-hotel,Lost Hotel
lost-hotel-b1f,lost-hotel,Lost Hotel (B1F)
lost-tower,lost-tower,Lost Tower
lost-tower-1f,lost-tower,Lost Tower (1F)
lost-tower-2f,lost-tower,Lost Tower (2F)
lost-tower-3f,lost-tower,Lost Tower (3F)
lost-tower-4f,lost-tower,Lost Tower (4F)
lost-tower-5f,lost-tower,Lost Tower (5F)
lostlorn-forest,lostlorn-forest,Lostlorn Forest
loyalty-plaza,loyalty-plaza,Loyalty Plaza
lumiose-city,lumiose-city,Lumiose City
lunkers-lair,lunkers-lair,Lunker's Lair
lush-jungle,lush-jungle,Lush Jungle
lush-jungle-cave,lush-jungle,Lush Jungle (Cave)
lush-jungle-central-area,lush-jungle,Lush Jungle (Central area)
lush-jungle-north-area,lush-jungle,Lush Jungle (North area)
lush-jungle-northwest-area,lush-jungle,Lush Jungle (Northwest area)
lysandre-labs,lumiose-city,Lysandre Labs
magenta-sector-6,lumiose-city,Magenta Sector 6
magma-hideout-jagged-pass,magma-hideout-jagged-pass,Magma Hideout (Jagged Pass)
mahalo-trail,mahalo-trail,Mahalo Trail
mahogany-town,mahogany-town,Mahogany Town
mahogany-town-gym,mahogany-town,Mahogany Town Gym
malie-city,malie-city,Malie City
malie-city-outer-cape,malie-city,Malie City (Outer Cape)
malie-garden,malie-garden,Malie Garden
maniac-tunnel,maniac-tunnel,Maniac Tunnel
marine-cave,marine-cave,Marine Cave
marvelous-bridge,marvelous-bridge,Marvelous Bridge
master-dojo,master-dojo,Master Dojo
mauville-city,mauville-city,Mauville City
max-lair,max-lair,Max Lair
medali,medali,Medali
meetup-spot,meetup-spot,Meetup Spot
megalo-tower,megalo-tower,Megalo Tower
melemele-meadow,melemele-meadow,Melemele Meadow
melemele-sea,melemele-sea,Melemele Sea
melemele-sea-hauoli-city-side,melemele-sea,Melemele Sea (Hau'oli City side)
melemele-sea-route-01-side,melemele-sea,Melemele Sea (Route 1 side)
memorial-hill,memorial-hill,Memorial Hill
memorial-pillar,memorial-pillar,Memorial Pillar
mesagoza,mesagoza,Mesagoza
meteor-falls,meteor-falls,Meteor Falls
meteor-falls-1f-1r,meteor-falls,Meteor Falls (1F 1R)
meteor-falls-1f-2r,meteor-falls,Meteor Falls (1F 2R)
meteor-falls-b1f-1r,meteor-falls,Meteor Falls (B1F 1R)
meteor-falls-b1f-2r,meteor-falls,Meteor Falls (B1F 2R)
meteor-falls-stevens-cave,meteor-falls,Meteor Falls (Steven's Cave)
mirage-cave,mirage-cave,Mirage Cave
mirage-cave-north-fallarbor-town,mirage-cave,Mirage Cave (North Fallarbor Town)
mirage-cave-north-fortree-city,mirage-cave,Mirage Cave (North Fortree City)
mirage-cave-north-route-107,mirage-cave,Mirage Cave (North Route 107)
mirage-cave-north-route-124,mirage-cave,Mirage Cave (North Route 124)
mirage-cave-north-route-131,mirage-cave,Mirage Cave (North Route 131)
mirage-cave-north-route-132,mirage-cave,Mirage Cave (North Route 132)
mirage-cave-southeast-route-129,mirage-cave,Mirage Cave (Southeast Route 129)
mirage-cave-west-route-115,mirage-cave,Mirage Cave (West Route 115)
mirage-forest-east-mossdeep-city,mirage-forest,Mirage Forest (East Mossdeep City)
mirage-forest-north-lilycove-city,mirage-forest,Mirage Forest (North Lilycove City)
mirage-forest-north-route-111,mirage-forest,Mirage Forest (North Route 111)
mirage-forest-north-route-124,mirage-forest,Mirage Forest (North Route 124)
mirage-forest-south-route-109,mirage-forest,Mirage Forest (South Route 109)
mirage-forest-south-route-132,mirage-forest,Mirage Forest (South Route 132)
mirage-forest-west-route-105,mirage-forest,Mirage Forest (West Route 105)
mirage-forest-west-route-114,mirage-forest,Mirage Forest (West Route 114)
mirage-island,mirage-island,Mirage Island
mirage-island-north-route-113,mirage-island,Mirage Island (North Route 113)
mirage-island-north-route-124,mirage-island,Mirage Island (North Route 124)
mirage-island-north-route-125,mirage-island,Mirage Island (North Route 125)
mirage-island-south-pacifidlog-town,mirage-island,Mirage Island (South Pacifidlog Town)
mirage-island-south-route-132,mirage-island,Mirage Island (South Route 132)
mirage-island-south-route-134,mirage-island,Mirage Island (South Route 134)
mirage-island-west-dewford-town,mirage-island,Mirage Island (West Dewford Town)
mirage-island-west-route-104,mirage-island,Mirage Island (West Route 104)
mirage-mountain-east-route-125,mirage-mountain,Mirage Mountain (East Route 125)
mirage-mountain-north-lilycove-city,mirage-mountain,Mirage Mountain (North Lilycove City)
mirage-mountain-north-route-125,mirage-mountain,Mirage Mountain (North Route 125)
mirage-mountain-northeast-route-125,mirage-mountain,Mirage Mountain (Northeast Route 125)
mirage-mountain-south-route-129,mirage-mountain,Mirage Mountain (South Route 129)
mirage-mountain-south-route-131,mirage-mountain,Mirage Mountain (South Route 131)
mirage-mountain-southeast-route-129,mirage-mountain,Mirage Mountain (Southeast Route 129)
mirage-mountain-west-route-104,mirage-mountain,Mirage Mountain (West Route 104)
mirage-tower,mirage-tower,Mirage Tower
mirage-tower-1f,mirage-tower,Mirage Tower (1F)
mirage-tower-2f,mirage-tower,Mirage Tower (2F)
mirage-tower-3f,mirage-tower,Mirage Tower (3F)
mirage-tower-4f,mirage-tower,Mirage Tower (4F)
mistralton-cave,mistralton-cave,Mistralton Cave
mistralton-cave-1f,mistralton-cave,Mistralton Cave (1F)
mistralton-cave-2f,mistralton-cave,Mistralton Cave (2F)
mistralton-cave-guidance-chamber,mistralton-cave,Mistralton Cave (Guidance Chamber)
mistralton-city,mistralton-city,Mistralton City
molten-arena,molten-arena,Molten Arena
montenevera,montenevera,Montenevera
moomoo-farm,moomoo-farm,Moomoo Farm
moonview-arena,moonview-arena,Moonview Arena
moor-of-icirrus,moor-of-icirrus,Moor of Icirrus
mossdeep-city,mossdeep-city,Mossdeep City
mossdeep-space-center,mossdeep-space-center,Mossdeep Space Center
mossfell-confluence,mossfell-confluence,Mossfell Confluence
mossfell-confluence-bamboo-forest,mossfell-confluence,Mossfell Confluence (Bamboo Forest)
mossfell-confluence-lake,mossfell-confluence,Mossfell Confluence (Lake)
mossfell-confluence-prairie,mossfell-confluence,Mossfell Confluence (Prairie)
mossfell-confluence-riverside,mossfell-confluence,Mossfell Confluence (Riverside)
mossfell-confluence-rocky-area,mossfell-confluence,Mossfell Confluence (Rocky Area)
mossui-town,mossui-town,Mossui Town
motostoke,motostoke,Motostoke
motostoke-outskirts,motostoke-outskirts,Motostoke Outskirts
motostoke-riverbank,motostoke-riverbank,Motostoke Riverbank
motostoke-riverbank-by-east-end-of-riverbank,motostoke-riverbank,Motostoke Riverbank (By east end of riverbank)
motostoke-riverbank-by-west-end-of-riverbank,motostoke-riverbank,Motostoke Riverbank (By west end of riverbank)
motostoke-riverbank-den-northeast-of-motostoke-riverbank-near-bridge-common,motostoke-riverbank,Motostoke Riverbank (Den A - Northeast of Motostoke Riverbank near bridge - Common)
motostoke-riverbank-den-northeast-of-motostoke-riverbank-near-bridge-rare,motostoke-riverbank,Motostoke Riverbank (Den A - Northeast of Motostoke Riverbank near bridge - Rare)
motostoke-riverbank-den-northwest-of-motostoke-riverbank-near-cliff-common,motostoke-riverbank,Motostoke Riverbank (Den B - Northwest of Motostoke Riverbank near cliff - Common)
motostoke-riverbank-den-northwest-of-motostoke-riverbank-near-cliff-rare,motostoke-riverbank,Motostoke Riverbank (Den B - Northwest of Motostoke Riverbank near cliff - Rare)
motostoke-riverbank-den-south-of-motostoke-riverbank-near-path-common,motostoke-riverbank,Motostoke Riverbank (Den C - South of Motostoke Riverbank near path - Common)
motostoke-riverbank-den-south-of-motostoke-riverbank-near-path-rare,motostoke-riverbank,Motostoke Riverbank (Den C - South of Motostoke Riverbank near path - Rare)
motostoke-riverbank-den-southeast-of-motostoke-riverbank-near-cliff-common,motostoke-riverbank,Motostoke Riverbank (Den D - Southeast of Motostoke Riverbank near cliff - Common)
motostoke-riverbank-den-southeast-of-motostoke-riverbank-near-cliff-rare,motostoke-riverbank,Motostoke Riverbank (Den D - Southeast of Motostoke Riverbank near cliff - Rare)
motostoke-riverbank-east-of-pond,motostoke-riverbank,Motostoke Riverbank (East of pond)
motostoke-riverbank-in-front-of-bridge-over-river,motostoke-riverbank,Motostoke Riverbank (In front of bridge over river)
motostoke-riverbank-in-pond,motostoke-riverbank,Motostoke Riverbank (In pond)
motostoke-riverbank-west-of-pond,motostoke-riverbank,Motostoke Riverbank (West of pond)
motostoke-riverbank-west-of-pond-near-top-of-hill,motostoke-riverbank,Motostoke Riverbank (West of pond near top of hill)
mount-coronet,mount-coronet,Mount Coronet
mount-coronet-2f,mount-coronet,Mount Coronet (2F)
mount-coronet-3f,mount-coronet,Mount Coronet (3F)
mount-coronet-4f,mount-coronet,Mount Coronet (4F)
mount-coronet-4f-room-1,mount-coronet,Mount Coronet (4F Room 1)
mount-coronet-4f-room-2,mount-coronet,Mount Coronet (4F Room 2)
mount-coronet-4f-room-3,mount-coronet,Mount Coronet (4F Room 3)
mount-coronet-5f,mount-coronet,Mount Coronet (5F)
mount-coronet-6f,mount-coronet,Mount Coronet (6F)
mount-coronet-b1f,mount-coronet,Mount Coronet (B1F)
mount-coronet-b1f-feebas-lake,mount-coronet,Mount Coronet (B1F Feebas Lake)
mount-coronet-mountainside,mount-coronet,Mount Coronet (Mountainside)
mount-coronet-northern-1f-room-1-eterna-city-celestic-town-side,mount-coronet,"Mount Coronet (Northern 1F Room 1, Eterna City/Celestic Town Side)"
mount-coronet-northern-1f-room-2,mount-coronet,Mount Coronet (Northern 1F Room 2)
mount-coronet-southern-1f-oreburgh-city-hearthome-city-side,mount-coronet,Mount Coronet (Southern 1F Oreburgh City/Hearthome City Side)
mount-coronet-tunnel-room,mount-coronet,Mount Coronet (Tunnel Room)
mount-hokulani,mount-hokulani,Mount Hokulani
mount-hokulani-first-two-patches-at-foot-of-mountain,mount-hokulani,Mount Hokulani (First two patches of grass at the foot of the mountain)
mount-hokulani-patch-nearest-observatory,mount-hokulani,Mount Hokulani (Patch nearest Observatory)
mount-lanakila,mount-lanakila,Mount Lanakila
mount-lanakila-area-near-elevator-leading-to-base,mount-lanakila,Mount Lanakila (Area near elevator leading to base)
mount-lanakila-base,mount-lanakila,Mount Lanakila (Base)
mount-lanakila-icy-cave-left,mount-lanakila,Mount Lanakila (Icy Cave Left)
mount-lanakila-icy-cave-right,mount-lanakila,Mount Lanakila (Icy Cave Right)
mount-lanakila-northern-patch-near-base,mount-lanakila,Mount Lanakila (Northern patch near base)
mount-lanakila-southern-patch-near-base-and-patch-near-peak,mount-lanakila,Mount Lanakila (Southern patch near base and patch near peak)
mount-lanakila-upper-reaches-middle,mount-lanakila,Mount Lanakila (Upper Reaches Middle)
mount-lanakila-upper-reaches-upper,mount-lanakila,Mount Lanakila (Upper Reaches Upper)
mt-chimney,mt-chimney,Mt. Chimney
mt-ember,mt-ember,Mt. Ember
mt-ember-1f,mt-ember,Mt. Ember (1F)
mt-ember-2f,mt-ember,Mt. Ember (2F)
mt-ember-3f,mt-ember,Mt. Ember (3F)
mt-ember-base-area,mt-ember,Mt. Ember (Base Area)
mt-ember-ruby-path-1f,mt-ember,Mt. Ember (Ruby Path 1F)
mt-ember-ruby-path-b1f,mt-ember,Mt. Ember (Ruby Path B1F)
mt-ember-ruby-path-b2f,mt-ember,Mt. Ember (Ruby Path B2F)
mt-ember-ruby-path-b3f,mt-ember,Mt. Ember (Ruby Path B3F)
mt-ember-ruby-path-b4f,mt-ember,Mt. Ember (Ruby Path B4F)
mt-ember-ruby-path-b5f,mt-ember,Mt. Ember (Ruby Path B5F)
mt-ember-summit,mt-ember,Mt. Ember (Summit)
mt-moon,mt-moon,Mt. Moon
mt-moon-1f,mt-moon,Mt. Moon (1F)
mt-moon-b1f,mt-moon,Mt. Moon (B1F)
mt-moon-b2f,mt-moon,Mt. Moon (B2F)
mt-moon-square,mt-moon-square,Mt. Moon Square
mt-mortar,mt-mortar,Mt. Mortar
mt-mortar-1f-back,mt-mortar,Mt. Mortar (1F Back)
mt-mortar-1f-entrance,mt-mortar,Mt. Mortar (1F Entrance)
mt-mortar-2f,mt-mortar,Mt. Mortar (2F)
mt-mortar-b1f,mt-mortar,Mt. Mortar (B1F)
mt-pyre,mt-pyre,Mt. Pyre
mt-pyre-1f,mt-pyre,Mt. Pyre (1F)
mt-pyre-2f,mt-pyre,Mt. Pyre (2F)
mt-pyre-3f,mt-pyre,Mt. Pyre (3F)
mt-pyre-4f,mt-pyre,Mt. Pyre (4F)
mt-pyre-5f,mt-pyre,Mt. Pyre (5F)
mt-pyre-6f,mt-pyre,Mt. Pyre (6F)
mt-pyre-outside,mt-pyre,Mt. Pyre (Outside)
mt-pyre-summit,mt-pyre,Mt. Pyre (Summit)
mt-silver,mt-silver,Mt. Silver
mt-silver-cave,mt-silver-cave,Mt. Silver
mt-silver-cave-1f,mt-silver-cave,Mt. Silver (Cave 1F)
mt-silver-cave-2f,mt-silver-cave,Mt. Silver (Cave 2F)
mt-silver-cave-3f,mt-silver-cave,Mt. Silver (Cave 3F)
mt-silver-cave-expert-belt-chamber,mt-silver-cave,Mt. Silver (Cave Expert Belt Chamber)
mt-silver-cave-full-restore-chamber,mt-silver-cave,Mt. Silver (Cave Full Restore Chamber)
mt-silver-cave-lower-mountainside,mt-silver-cave,Mt. Silver (Cave Lower Mountainside)
mt-silver-cave-max-revive-chamber,mt-silver-cave,Mt. Silver (Cave Max Revive Chamber)
mt-silver-cave-moltres-chamber,mt-silver-cave,Mt. Silver (Cave Moltres Chamber)
mt-silver-cave-summit,mt-silver-cave,Mt. Silver (Cave Summit)
mt-silver-cave-upper-mountainside,mt-silver-cave,Mt. Silver (Cave Upper Mountainside)
nacrene-city,nacrene-city,Nacrene City
nameless-cavern,nameless-cavern,Nameless Cavern
naranja-academy,naranja-academy,Naranja Academy
national-park,national-park,National Park
national-park-bug-catching-post-natdex,national-park,National Park (Bug Catching - Post NatDex)
national-park-bug-catching-pre-natdex,national-park,National Park (Bug Catching - Pre NatDex)
nature-preserve,nature-preserve,Nature Preserve
natures-pantry,natures-pantry,Nature's Pantry
navel-rock-bottom,navel-rock,Navel Rock (Bottom)
navel-rock-top,navel-rock,Navel Rock (Top)
new-bark-town,new-bark-town,New Bark Town
new-mauville,new-mauville,New Mauville
new-mauville-basement,new-mauville,New Mauville (Basement)
new-mauville-entrance,new-mauville,New Mauville (Entrance)
newmoon-island,newmoon-island,Newmoon Island
nimbasa-city,nimbasa-city,Nimbasa City
north-lake-miloch,north-lake-miloch,North Lake Miloch
north-lake-miloch-by-border-with-giants-seat,north-lake-miloch,North Lake Miloch (By border with Giant's Seat)
north-lake-miloch-den-east-coast-of-north-lake-miloch-common,north-lake-miloch,North Lake Miloch (Den A - East coast of North Lake Miloch - Common)
north-lake-miloch-den-east-coast-of-north-lake-miloch-rare,north-lake-miloch,North Lake Miloch (Den A - East coast of North Lake Miloch - Rare)
north-lake-miloch-den-north-coast-of-north-lake-miloch-common,north-lake-miloch,North Lake Miloch (Den B - North coast of North Lake Miloch - Common)
north-lake-miloch-den-north-coast-of-north-lake-miloch-rare,north-lake-miloch,North Lake Miloch (Den B - North coast of North Lake Miloch - Rare)
north-lake-miloch-den-northeast-coast-of-north-lake-miloch-common,north-lake-miloch,North Lake Miloch (Den C - Northeast coast of North Lake Miloch - Common)
north-lake-miloch-den-northeast-coast-of-north-lake-miloch-rare,north-lake-miloch,North Lake Miloch (Den C - Northeast coast of North Lake Miloch - Rare)
north-lake-miloch-den-southeast-coast-of-north-lake-miloch-common,north-lake-miloch,North Lake Miloch (Den D - Southeast coast of North Lake Miloch - Common)
north-lake-miloch-den-southeast-coast-of-north-lake-miloch-rare,north-lake-miloch,North Lake Miloch (Den D - Southeast coast of North Lake Miloch - Rare)
north-lake-miloch-den-southwest-coast-of-north-lake-miloch-common,north-lake-miloch,North Lake Miloch (Den E - Southwest coast of North Lake Miloch - Common)
north-lake-miloch-den-southwest-coast-of-north-lake-miloch-rare,north-lake-miloch,North Lake Miloch (Den E - Southwest coast of North Lake Miloch - Rare)
north-lake-miloch-den-west-coast-of-north-lake-miloch-common,north-lake-miloch,North Lake Miloch (Den F - West coast of North Lake Miloch - Common)
north-lake-miloch-den-west-coast-of-north-lake-miloch-rare,north-lake-miloch,North Lake Miloch (Den F - West coast of North Lake Miloch - Rare)
north-lake-miloch-in-east-end-of-lake,north-lake-miloch,North Lake Miloch (In east end of lake)
north-lake-miloch-in-lake-by-shore-south-of-motostoke-river-bridge,north-lake-miloch,North Lake Miloch (In lake by shore south of Motostoke River Bridge)
north-lake-miloch-in-lake-north-of-south-den,north-lake-miloch,North Lake Miloch (In lake north of south Den)
north-lake-miloch-just-north-of-top-of-slope-up-from-giants-seat,north-lake-miloch,North Lake Miloch (Just north of top of slope up from Giant's Seat)
north-lake-miloch-just-southeast-of-motostoke-river-bridge,north-lake-miloch,North Lake Miloch (Just southeast of Motostoke River Bridge)
north-lake-miloch-near-den-in-northeast-corner,north-lake-miloch,North Lake Miloch (Near Den in northeast corner)
north-lake-miloch-near-west-end-of-lake,north-lake-miloch,North Lake Miloch (Near west end of lake)
north-lake-miloch-on-promontory-overlooking-giants-seat,north-lake-miloch,North Lake Miloch (On promontory overlooking Giant's Seat)
north-paldean-sea,north-paldean-sea,North Paldean Sea
north-paldean-sea-ocean,north-paldean-sea,North Paldean Sea (Ocean)
north-province-area-one,north-province-area-one,North Province (Area One)
north-province-area-one-bamboo-forest,north-province-area-one,North Province (Area One - Bamboo Forest)
north-province-area-one-beach,north-province-area-one,North Province (Area One - Beach)
north-province-area-one-cave,north-province-area-one,North Province (Area One - Cave)
north-province-area-one-flower,north-province-area-one,North Province (Area One - Flower)
north-province-area-one-lake,north-province-area-one,North Province (Area One - Lake)
north-province-area-one-mountain,north-province-area-one,North Province (Area One - Mountain)
north-province-area-one-ocean,north-province-area-one,North Province (Area One - Ocean)
north-province-area-one-riverside,north-province-area-one,North Province (Area One - Riverside)
north-province-area-one-rocky-area,north-province-area-one,North Province (Area One - Rocky Area)
north-province-area-one-ruins,north-province-area-one,North Province (Area Ruins)
north-province-area-one-snowfield,north-province-area-one,North Province (Area One - Snowfield)
north-province-area-three,north-province-area-three,North Province (Area Three)
north-province-area-three-beach,north-province-area-three,North Province (Area Three - Beach)
north-province-area-three-cave,north-province-area-three,North Province (Area Three - Cave)
north-province-area-three-flower,north-province-area-three,North Province (Area Three - Flower)
north-province-area-three-ocean,north-province-area-three,North Province (Area Three - Ocean)
north-province-area-three-prairie,north-province-area-three,North Province (Area Three - Prairie)
north-province-area-three-riverside,north-province-area-three,North Province (Area Three - Riverside)
north-province-area-three-rocky-area,north-province-area-three,North Province (Area Three - Rocky Area)
north-province-area-three-snowfield,north-province-area-three,North Province (Area Three - Snowfield)
north-province-area-two,north-province-area-two,North Province (Area Two)
north-province-area-two-cave,north-province-area-two,North Province (Area Two - Cave)
north-province-area-two-flower,north-province-area-two,North Province (Area Two - Flower)
north-province-area-two-lake,north-province-area-two,North Province (Area Two - Lake)
north-province-area-two-rocky-area,north-province-area-two,North Province (Area Two - Rocky Area)
nouveau-cafe,lumiose-city,Nouveau Café
ns-castle,ns-castle,N's Castle
nuvema-town,nuvema-town,Nuvema Town
obsidian-falls,obsidian-falls,Obsidian Falls
