move,name_en,name_ja,name_ja_hrkt,name_ja_roma,name_fr,name_de,name_es,name_es_419,name_it,name_ko,name_ko_latn,name_zh_hant,name_zh_hans,name_zh_latn
inferno,Inferno,れんごく,れんごく,Rengoku,Feu d’Enfer,Inferno,Infierno,Infierno,Marchiatura,연옥,Yeon-ok,煉獄,炼狱,Liànyù / Lihnyuhk
water-pledge,Water Pledge,みずのちかい,みずのちかい,Mizu no Chikai,Aire d’Eau,Wassersäulen,Voto Agua,Voto Agua,Acquapatto,물의맹세,Mul-ui Maengse,水之誓約,水之誓约,Shuǐ-zhī Shìyuē / Séui-jī Saihyeuk
fire-pledge,Fire Pledge,ほのおのちかい,ほのおのちかい,Honō no Chikai,Aire de Feu,Feuersäulen,Voto Fuego,Voto Fuego,Fiammapatto,불꽃의맹세,Bulkkot-ui Maengse,火之誓約,火之誓约,Huǒ-zhī Shìyuē / Fó-jī Saihyeuk
grass-pledge,Grass Pledge,くさのちかい,くさのちかい,Kusa no Chikai,Aire d’Herbe,Pflanzensäulen,Voto Planta,Voto Planta,Erbapatto,풀의맹세,Pul-ui Maengse,草之誓約,草之誓约,Cǎo-zhī Shìyuē / Chóu-jī Saihyeuk
volt-switch,Volt Switch,ボルトチェンジ,ボルトチェンジ,Boruto Chenji,Change Éclair,Voltwechsel,Voltiocambio,Cambiavoltaje,Invertivolt,볼트체인지,Volt Change,伏特替換,伏特替换,Fútè Tìhuàn / Fuhkdahk Taiwuhn
struggle-bug,Struggle Bug,むしのていこう,むしのていこう,Mushi no Teikō,Survinsecte,Käfertrutz,Estoicismo,Lucha Insecto,Entomoblocco,벌레의저항,Bulrae-eui Jauhang,蟲之抵抗,虫之抵抗,Chóng-zhī Dǐkàng / Chùhng-jī Dáikong
bulldoze,Bulldoze,じならし,じならし,Jinarashi,Piétisol,Dampfwalze,Terratemblor,Terratemblor,Battiterra,땅고르기,Ttang Goreugi,重踏,重踏,Zhòngtà / Chúhngdaahp
frost-breath,Frost Breath,こおりのいぶき,こおりのいぶき,Kōri no Ibuki,Souffle Glacé,Eisesodem,Vaho Gélido,Vaho Helado,Alitogelido,얼음숨결,Eureum Soomgyul,冰息,冰息,Bīngxī / Bīngsīk
dragon-tail,Dragon Tail,ドラゴンテール,ドラゴンテール,Doragon Tēru,Draco-Queue,Drachenrute,Cola Dragón,Cola de Dragón,Codadrago,드래곤테일,Dragon Tail,龍尾,龙尾,Lóngyǐ/Lóngwěi / Lùhngméih
work-up,Work Up,ふるいたてる,ふるいたてる,Furui Tateru,Rengorgement,Kraftschub,Avivar,Avivar,Cuordileone,분발,Bunbal,自我激勵,自我激励,Zìwǒ Jīlì / Jihngóh Gīklaih
electroweb,Electroweb,エレキネット,エレキネット,Ereki Netto,Toile Élek,Elektronetz,Electrotela,Electrotela,Elettrotela,일렉트릭네트,Electric Net,電網,电网,Diànwǎng / Dihnmóhng
wild-charge,Wild Charge,ワイルドボルト,ワイルドボルト,Wairudo Boruto,Éclair Fou,Stromstoß,Voltio Cruel,Carga Salvaje,Sprizzalampo,와일드볼트,Wild Bolt,瘋狂伏特,疯狂伏特,Fēngkuáng Fútè / Fūngkòhng Fuhkdahk
drill-run,Drill Run,ドリルライナー,ドリルライナー,Doriru Rainā,Tunnelier,Schlagbohrer,Taladradora,Taladradora,Giravvita,드릴라이너,Drill Liner,直衝鑽,直冲钻,Zhíchōng Zuàn / Jihkchūng Jyūn
dual-chop,Dual Chop,ダブルチョップ,ダブルチョップ,Daburu Choppu,Double Baffe,Doppelhieb,Golpe Bis,Golpe Dual,Doppiocolpo,더블촙,Double Chop,二連劈,二连劈,Èrliánpī / Yihlìhnpek
heart-stamp,Heart Stamp,ハートスタンプ,ハートスタンプ,Hāto Sutanpu,Crève-Cœur,Herzstempel,Arrumaco,Sello de Corazón,Cuorestampo,하트스탬프,Heart Stamp,愛心印章,爱心印章,Àixīn Yìnzhāng / Oisām Yanjēung
horn-leech,Horn Leech,ウッドホーン,ウッドホーン,Uddo Hōn,Encornebois,Holzgeweih,Asta Drenaje,Drenacuerno,Legnicorno,우드혼,Wood Horn,木角,木角,Mùjiǎo / Muhkgok
sacred-sword,Sacred Sword,せいなるつるぎ,せいなるつるぎ,Seinaru Tsurugi,Lame Sainte,Sanctoklinge,Espada Santa,Espada Sagrada,Spadasolenne,성스러운칼,Seongseureo-un Kal,聖劍,圣剑,Shèngjiàn / Singgim
razor-shell,Razor Shell,シェルブレード,シェルブレード,Sheru Burēdo,Coqui-Lame,Kalkklinge,Concha Filo,Coraza Afilada,Conchilama,셸블레이드,Shell Blade,貝殼刃,贝壳刃,Bèiké Rèn / Buihok Yahn
heat-crash,Heat Crash,ヒートスタンプ,ヒートスタンプ,Hīto Sutanpu,Tacle Feu,Brandstempel,Golpe Calor,Golpe de Calor,Marchiafuoco,히트스탬프,Heat Stamp,高溫重壓,高温重压,Gāowēn Zhòngyā / Gōuwān Chúhng'aat
leaf-tornado,Leaf Tornado,グラスミキサー,グラスミキサー,Gurasu Mikusā,Phytomixeur,Grasmixer,Ciclón de Hojas,Ciclón de Hojas,Vorticerba,그래스믹서,Grass Mixer,青草攪拌器,青草搅拌器,Qīngcǎo Jiǎobànqì / Chēngchóu Gáaubuhnhei
steamroller,Steamroller,ハードローラー,ハードローラー,Hādo Rorā,Bulldoboule,Quetschwalze,Rodillo de Púas,Aplanadora,Rulloduro,하드롤러,Hard Roller,瘋狂滾壓,疯狂滚压,Fēngkuáng Gǔnyā / Fūngkòhng Gwán'aat
cotton-guard,Cotton Guard,コットンガード,コットンガード,Cotton Gādo,Cotogarde,Watteschild,Rizo Algodón,Guardialgodón,Cotonscudo,코튼가드,Cotton Guard,棉花防守,棉花防守,Miánhuā Fángshǒu / Mìhnfā Fòhngsáu
night-daze,Night Daze,ナイトバースト,ナイトバースト,Naito Bāsuto,Explonuit,Nachtflut,Pulso Noche,Pulso Nocturno,Urtoscuro,나이트버스트,Night Burst,暗黑爆破,暗黑爆破,Ànhēi Bàopò / Amhāk Baaupo
psystrike,Psystrike,サイコブレイク,サイコブレイク,Saiko Bureiku,Frappe Psy,Psychostoß,Onda Mental,Onda Mental,Psicobotta,사이코브레이크,Psycho Break,精神擊破,精神击破,Jīngshén Jípò / Jīngsàhn Gīkpo
tail-slap,Tail Slap,スイープビンタ,スイープビンタ,Suīpu Binta,Plumo-Queue,Kehrschelle,Plumerazo,Golpe de Cola,Spazzasberla,스위프뺨치기,Sweep Ppyamchigi,掃尾拍打,扫尾拍打,Sǎoyǐ Pāidǎ/Sǎowěi Pāidǎ / Souméih Paakdá
hurricane,Hurricane,ぼうふう,ぼうふう,Bōfū,Vent Violent,Orkan,Vendaval,Huracán,Tifone,폭풍,Pokpung,暴風,暴风,Bàofēng / Bouhfūng
head-charge,Head Charge,アフロブレイク,アフロブレイク,Afuro Bureiku,Peignée,Steinschädel,Ariete,Carga de Cabeza,Ricciolata,아프로브레이크,Afro Break,爆炸頭突擊,爆炸头突击,Bàozhàtóu Tūjī / Baaujatàuh Dahtgīk
gear-grind,Gear Grind,ギアソーサー,ギアソーサー,Gia Sōsā,Lancécrou,Klikkdiskus,Rueda Doble,Rueda Doble,Ingracolpo,기어소서,Gear Saucer,齒輪飛盤,齿轮飞盘,Chǐlún Fēipán / Chílèuhn Fēipùhn
searing-shot,Searing Shot,かえんだん,かえんだん,Kaendan,Incendie,Flammenball,Bomba Ígnea,Bomba Ígnea,Sparafuoco,화염탄,Hwayeomtan,火焰彈,火焰弹,Huǒyàn Dàn / Fóyihm Daahn
techno-blast,Techno Blast,テクノバスター,テクノバスター,Tekuno Basutā,Techno-Buster,Techblaster,Tecno Shock,Tecno Shock,Tecnobotto,테크노버스터,Techno Buster,高科技光炮,高科技光炮,Gāokējì Guāngpào / Gōufōgeih Gwōngpaau
relic-song,Relic Song,いにしえのうた,いにしえのうた,Inishie no Uta,Chant Antique,Urgesang,Canto Arcaico,Canto Arcaico,Cantoantico,옛노래,Yennorae,古老之歌,古老之歌,Gǔlǎo-zhī Gē / Gúlóuh-jī Gō
secret-sword,Secret Sword,しんぴのつるぎ,しんぴのつるぎ,Shinpi no Tsurugi,Lame Ointe,Mystoschwert,Sable Místico,Espada Secreta,Spadamistica,신비의칼,Sinbi-yi Kal,神秘之劍,神秘之剑,Shénmì-zhī Jiàn / Sàhnbei-jī Gim
glaciate,Glaciate,こごえるせかい,こごえるせかい,Kogoeru Sekai,Ère Glaciaire,Eiszeit,Mundo Gélido,Mundo Gélido,Gelamondo,얼어붙은세계,Eolda-segye,冰封世界,冰封世界,Bīngfēng Shìjiè / Bīngfūng Saigaai
bolt-strike,Bolt Strike,らいげき,らいげき,Raigeki,Charge Foudre,Blitzschlag,Ataque Fulgor,Ataque Fulgor,Lucesiluro,뇌격,Nyaegyuk,雷擊,雷击,Léijí / Lèuihgīk
blue-flare,Blue Flare,あおいほのお,あおいほのお,Aoi Honō,Flamme Bleue,Blauflammen,Llama Azul,Llama Azul,Fuocoblu,푸른불꽃,Pureun Bulkkot,青焰,青焰,Qīngyàn / Chīngyihm
fiery-dance,Fiery Dance,ほのおのまい,ほのおのまい,Honō no Mai,Danse du Feu,Feuerreigen,Danza Llama,Danza de Llamas,Voldifuoco,불꽃춤,Bulkkotchum,火之舞,火之舞,Huǒ-zhī Wǔ / Fó-jī Móuh
freeze-shock,Freeze Shock,フリーズボルト,フリーズボルト,Furīzu Boruto,Éclair Gelé,Frostvolt,Rayo Gélido,Rayo Gélido,Elettrogelo,프리즈볼트,Freeze Volt,冰凍伏特,冰冻伏特,Bīngdòng Fútè / Bīngdung Fuhkdahk
ice-burn,Ice Burn,コールドフレア,コールドフレア,Kōrudo Furea,Feu Glacé,Frosthauch,Llama Gélida,Llama Gélida,Vampagelida,콜드플레어,Cold Flare,極寒冷焰,极寒冷焰,Jíhán Lěngyàn / Gihkhòhn Láahngyihm
snarl,Snarl,バークアウト,バークアウト,Bāku Auto,Aboiement,Standpauke,Alarido,Alarido,Urlorabbia,바크아웃,Bark Out,大聲咆哮,大声咆哮,Dàshēng Páoxiāo / Daaihsēng Pàauhhāau
icicle-crash,Icicle Crash,つららおとし,つららおとし,Tsurara Otoshi,Chute Glace,Eiszapfhagel,Chuzos,Carámbano,Scagliagelo,고드름떨구기,Godureum Tteolgugi,冰柱墜擊,冰柱坠击,Bīngzhù Zhuìjī / Bīngchyúh Jeuihgīk
v-create,V-create,Ｖジェネレート,Ｖジェネレート,V Jenerēto,Coup Victoire,V-Generator,V de Fuego,V de Fuego,Generatore V,V제너레이트,V Generate,Ｖ熱焰,Ｖ热焰,V Rèyàn / V Yihtyihm
fusion-flare,Fusion Flare,クロスフレイム,クロスフレイム,Kurosu Fureimu,Flamme Croix,Kreuzflamme,Llama Fusión,Llama Fusión,Incrofiamma,크로스플레임,Cross Flame,交錯火焰,交错火焰,Jiāocuò Huǒyàn / Gāauchok Fóyihm
fusion-bolt,Fusion Bolt,クロスサンダー,クロスサンダー,Kurosu Sandā,Éclair Croix,Kreuzdonner,Rayo Fusión,Rayo Fusión,Incrotuono,크로스썬더,Cross Thunder,交錯閃電,交错闪电,Jiāocuò Shǎndiàn / Gāauchok Símdihn
flying-press,Flying Press,フライングプレス,フライングプレス,Furaingu Puresu,Flying Press,Flying Press,Plancha Voladora,Plancha Voladora,Schiacciatuffo,플라잉프레스,Flying Press,飛身重壓,飞身重压,Fēishēn Zhòngyā / Fēisān Chúhng'aat
mat-block,Mat Block,たたみがえし,たたみがえし,Tatami-gaeshi,Tatamigaeshi,Tatami-Schild,Escudo Tatami,Escudo Tatami,Ribaltappeto,마룻바닥세워막기,Marutbadaksewomaggi,掀榻榻米,掀榻榻米,Xiān Tàtàmǐ / Hīn Taaptaapmáih
belch,Belch,ゲップ,ゲップ,Geppu,Éructation,Rülpser,Eructo,Eructo,Rutto,트림,Teurim,打嗝,打嗝,Dǎgé / Dágaak
rototiller,Rototiller,たがやす,たがやす,Tagayasu,Fertilisation,Pflüger,Fertilizante,Fertilizante,Aracampo,일구기,Ilgugi,耕地,耕地,Gēngdì / Gāangdeih
sticky-web,Sticky Web,ねばねばネット,ねばねばネット,Nebaneba Net,Toile Gluante,Klebenetz,Red Viscosa,Red Pegajosa,Rete Vischiosa,끈적끈적네트,Kkeunjeok-kkeunjeok Net,黏黏網,黏黏网,Niánnián Wǎng / Nīmnīm Móhng
fell-stinger,Fell Stinger,とどめばり,とどめばり,Todome-bari,Dard Mortel,Stachelfinale,Aguijón Letal,Aguijón Letal,Pungiglione,마지막일침,Majimak'il-chim,致命針刺,致命针刺,Zhìmìng Zhēncì / Jimihng Jāmchi
phantom-force,Phantom Force,ゴーストダイブ,ゴーストダイブ,Gōsuto Daibu,Hantise,Phantomkraft,Golpe Fantasma,Golpe Fantasma,Spettrotuffo,고스트다이브,Ghost Dive,潛靈奇襲,潜灵奇袭,Qiánlíng Qíxí / Chìhmlīng Kèijaahp
trick-or-treat,Trick-or-Treat,ハロウィン,ハロウィン,Harouin,Halloween,Halloween,Halloween,Halloween,Halloween,핼러윈,Halloween,萬聖夜,万圣夜,Wànshèngyè / Maahnsingyeh
noble-roar,Noble Roar,おたけび,おたけび,Otakebi,Râle Mâle,Kampfgebrüll,Rugido de Guerra,Rugido de Guerra,Urlo,부르짖기,Bureujijgi,戰吼,战吼,Zhànhǒu / Jinháu
ion-deluge,Ion Deluge,プラズマシャワー,プラズマシャワー,Purazuma Shawā,Déluge Plasmique,Plasmaschauer,Cortina Plasma,Cortina Plasma,Pioggiaplasma,플라스마샤워,Plasma Shower,等離子浴,等离子浴,Děnglízǐ Yù / Dánglèihjí Yuhk
parabolic-charge,Parabolic Charge,パラボラチャージ,パラボラチャージ,Parabora Chāji,Parabocharge,Parabolladung,Carga Parábola,Carga Parabólica,Caricaparabola,파라볼라차지,Parabola Charge,拋物面充電,抛物面充电,Pāowùmiàn Chōngdiàn / Pāaumahtmihn Chūngdihn
forests-curse,Forest’s Curse,もりののろい,もりののろい,Mori no Noroi,Maléfice Sylvain,Waldesfluch,Condena Silvana,Condena Silvana,Boscomalocchio,숲의저주,Sup-yi Jeoju,森林詛咒,森林诅咒,Sēnlín Zǔzhòu / Sāmlàhm Jojau
petal-blizzard,Petal Blizzard,はなふぶき,はなふぶき,Hana Fubuki,Tempête Florale,Blütenwirbel,Tormenta Floral,Tormenta de Pétalos,Fiortempesta,꽃보라,Kkotbora,落英繽紛,落英缤纷,Luòyīng Bīnfēn / Lohkyīng Bānfān
freeze-dry,Freeze-Dry,フリーズドライ,フリーズドライ,Furīzu Dorai,Lyophilisation,Gefriertrockner,Liofilización,Liofilización,Liofilizzazione,프리즈드라이,Freeze Dry,冷凍乾燥,冷冻干燥,Lěngdòng Gānzào / Láahngdung Gōnchou
disarming-voice,Disarming Voice,チャームボイス,チャームボイス,Chāmu Boisu,Voix Enjôleuse,Säuselstimme,Voz Cautivadora,Voz Encantadora,Incantavoce,차밍보이스,Charming Voice,魅惑之聲,魅惑之声,Mèihuò-zhī Shēng / Meihwaahk-jī Sīng
parting-shot,Parting Shot,すてゼリフ,すてゼリフ,Sute Zerifu,Dernier Mot,Abgangstirade,Última Palabra,Última Palabra,Monito,막말내뱉기,Makmal'naebaetgi,拋下狠話,抛下狠话,Pāoxià Hěnhuà / Pāauháh Hánwah
topsy-turvy,Topsy-Turvy,ひっくりかえす,ひっくりかえす,Hikkurikaesu,Renversement,Invertigo,Reversión,Reversión,Sottosopra,뒤집어엎기,Dwijib'eoeopgi,顛倒,颠倒,Diāndǎo / Dīndóu
draining-kiss,Draining Kiss,ドレインキッス,ドレインキッス,Dorein Kissu,Vampibaiser,Diebeskuss,Beso Drenaje,Beso Drenador,Assorbibacio,드레인키스,Drain Kiss,吸取之吻,吸取之吻,Xīqǔ-zhī Wěn / Kāpchéui-jī Máhn
crafty-shield,Crafty Shield,トリックガード,トリックガード,Torikku Gādo,Vigilance,Trickschutz,Truco Defensa,Truco Defensa,Truccodifesa,트릭가드,Trick Guard,戲法防守,戏法防守,Xìfǎ Fángshǒu / Heifaat Fòhngsáu
flower-shield,Flower Shield,フラワーガード,フラワーガード,Furawā Gādo,Garde Florale,Floraschutz,Defensa Floral,Defensa Floral,Fiordifesa,플라워가드,Flower Guard,鮮花防守,鲜花防守,Xiānhuā Fángshǒu / Sīnfā Fòhngsáu
grassy-terrain,Grassy Terrain,グラスフィールド,グラスフィールド,Gurasu Fīrudo,Champ Herbu,Grasfeld,Campo de Hierba,Campo de Césped,Campo Erboso,그래스필드,Grass Field,青草場地,青草场地,Qīngcǎo Chǎngdì / Chēngchóu Chèuhngdeih
misty-terrain,Misty Terrain,ミストフィールド,ミストフィールド,Misuto Fīrudo,Champ Brumeux,Nebelfeld,Campo de Niebla,Campo de Niebla,Campo Nebbioso,미스트필드,Mist Field,薄霧場地,薄雾场地,Bówù Chǎngdì / Bohkmouh Chèuhngdeih
electrify,Electrify,そうでん,そうでん,Sōden,Électrisation,Elektrifizierung,Electrificación,Electrificación,Elettrocontagio,송전,Songjeon,輸電,输电,Shūdiàn / Syūdihn
play-rough,Play Rough,じゃれつく,じゃれつく,Jaretsuku,Câlinerie,Knuddler,Carantoña,Juego Rudo,Carineria,치근거리기,Chigeungeorigi,嬉鬧,嬉闹,Xīnào / Hēinaauh
fairy-wind,Fairy Wind,ようせいのかぜ,ようせいのかぜ,Yōsei no Kaze,Vent Féérique,Feenbrise,Viento Feérico,Viento Feérico,Vento di Fata,요정의바람,Yojeong-yi Baram,妖精之風,妖精之风,Yāojing-zhī Fēng / Yīujīng-jī Fūng
moonblast,Moonblast,ムーンフォース,ムーンフォース,Mūn Fōsu,Pouvoir Lunaire,Mondgewalt,Fuerza Lunar,Fuerza Lunar,Forza Lunare,문포스,Moon Force,月亮之力,月亮之力,Yuèliàng-zhī Lì / Yuhtleuhng-jī Lihk
boomburst,Boomburst,ばくおんぱ,ばくおんぱ,Bakuonpa,Bang Sonique,Überschallknall,Estruendo,Estruendo,Ondaboato,폭음파,Pok'eumpa,爆音波,爆音波,Bàoyīnbō / Baauyāmbō
fairy-lock,Fairy Lock,フェアリーロック,フェアリーロック,Fearī Rokku,Verrou Enchanté,Feenschloss,Cerrojo Feérico,Cerrojo Feérico,Blocco Fatato,페어리록,Fairy Lock,妖精之鎖,妖精之锁,Yāojing-zhī Suǒ / Yīujīng-jī Só
kings-shield,King’s Shield,キングシールド,キングシールド,Kingu Shīrudo,Bouclier Royal,Königsschild,Escudo Real,Escudo Real,Scudo Reale,킹실드,King Shield,王者盾牌,王者盾牌,Wángzhě Dùnpái / Wòhngjé Téuhnpàaih
play-nice,Play Nice,なかよくする,なかよくする,Nakayoku-suru,Camaraderie,Kameradschaft,Camaradería,Camaradería,Simpatia,친해지기,Chinhaejigi,和睦相處,和睦相处,Hémù Xiāngchǔ / Wòhmuhk Sēungchyu
confide,Confide,ないしょばなし,ないしょばなし,Naisho-banashi,Confidence,Vertrauenssache,Confidencia,Confidencia,Confidenza,비밀이야기,Bimil'iyagi,密語,密语,Mìyǔ / Mahtyúh
diamond-storm,Diamond Storm,ダイヤストーム,ダイヤストーム,Daiya Sutōmu,Orage Adamantin,Diamantsturm,Tormenta de Diamantes,Tormenta de Diamantes,Diamantempesta,다이아스톰,Dia Storm,鑽石風暴,钻石风暴,Zuànshí Fēngbào / Jyunsehk Fūngbouh
steam-eruption,Steam Eruption,スチームバースト,スチームバースト,Suchīmu Bāsuto,Jet de Vapeur,Dampfschwall,Chorro de Vapor,Chorro de Vapor,Vaporscoppio,스팀버스트,Steam Burst,蒸汽爆炸,蒸汽爆炸,Zhēngqì Bàozhà / Jīnghei Baauja
hyperspace-hole,Hyperspace Hole,いじげんホール,いじげんホール,Ijigen Hole,TrouDimensionnel,Dimensionsloch,Paso Dimensional,Paso Dimensional,Forodimensionale,이차원홀,Daleunchawon Hole,異次元洞,异次元洞,Yìcìyuán Dòng / Yihchiyùhn Duhng
water-shuriken,Water Shuriken,みずしゅりけん,みずしゅりけん,Mizu Shuriken,Sheauriken,Wasser-Shuriken,Shuriken de Agua,Shuriken de Agua,Acqualame,물수리검,Mul Surigeom,飛水手裡劍,飞水手里剑,Fēi Shuǐ Shǒulǐjiàn / Fēi Séui Sáuléuihgim
mystical-fire,Mystical Fire,マジカルフレイム,マジカルフレイム,Majikaru Fureimu,Feu Ensorcelé,Magieflamme,Llama Embrujada,Fuego Místico,Magifiamma,매지컬플레임,Magical Flame,魔法火焰,魔法火焰,Mófǎ Huǒyàn / Mōfaat Fóyihm
spiky-shield,Spiky Shield,ニードルガード,ニードルガード,Nīdoru Gādo,Pico-Défense,Schutzstacheln,Barrera Espinosa,Barrera Espinosa,Agodifesa,니들가드,Needle Guard,尖刺防守,尖刺防守,Jiāncì Fángshǒu / Jīmchi Fòhngsáu
aromatic-mist,Aromatic Mist,アロマミスト,アロマミスト,Aroma Misuto,Brume Capiteuse,Duftwolke,Niebla Aromática,Niebla Aromática,Nebularoma,아로마미스트,Aroma Mist,芳香薄霧,芳香薄雾,Fāngxiāng Bòwù / Fōnghēung Bohkmouh
eerie-impulse,Eerie Impulse,かいでんぱ,かいでんぱ,Kaidenpa,Ondes Étranges,Mystowellen,Onda Anómala,Onda Anómala,Elettromistero,괴전파,Goejeonpa,怪異電波,怪异电波,Guàiyì Diànbō / Gwaaiyih Dihnbō
venom-drench,Venom Drench,ベノムトラップ,ベノムトラップ,Benomu Torappu,Piège de Venin,Giftfalle,Trampa Venenosa,Trampa Venenosa,Velenotrappola,베놈트랩,Venom Trap,毒液陷阱,毒液陷阱,Dúyì Xiànjǐng / Dúyè Xiànjǐng / Duhkyihk Hahmjehng
powder,Powder,ふんじん,ふんじん,Funjin,Nuée de Poudre,Pulverschleuder,Polvo Explosivo,Pólvora,Pulviscoppio,분진,Bunjin,粉塵,粉尘,Fěnchén / Fánchàhn
geomancy,Geomancy,ジオコントロール,ジオコントロール,Jiokontorōru,Géo-Contrôle,Geokontrolle,Geocontrol,Geocontrol,Geocontrollo,지오컨트롤,Geocontrol,大地掌控,大地掌控,Dàdì Zhǎngkòng / Daaihdeih Jéunghung
magnetic-flux,Magnetic Flux,じばそうさ,じばそうさ,Jiba Sōsa,Magné-Contrôle,Magnetregler,Aura Magnética,Aura Magnética,Controllo Polare,자기장조작,Jagijang Jojak,磁場操控,磁场操控,Cíchǎng Cāokòng / Chìhchèuhng Chōuhung
happy-hour,Happy Hour,ハッピータイム,ハッピータイム,Happī Taimu,Étrennes,Goldene Zeiten,Paga Extra,Paga Extra,Cuccagna,해피타임,Happy Time,歡樂時光,欢乐时光,Huānlè Shíguāng / Fūnlohk Sìhgwōng
electric-terrain,Electric Terrain,エレキフィールド,エレキフィールド,Ereki Fīrudo,Champ Électrifié,Elektrofeld,Campo Eléctrico,Campo Eléctrico,Campo Elettrico,일렉트릭필드,Electric Field,電氣場地,电气场地,Diànqì Chǎngdì / Dihnhei Chèuhngdeih
dazzling-gleam,Dazzling Gleam,マジカルシャイン,マジカルシャイン,Majikaru Shain,Éclat Magique,Zauberschein,Brillo Mágico,Brillo Mágico,Magibrillio,매지컬샤인,Magical Shine,魔法閃耀,魔法闪耀,Mófǎ Shǎnyào / Mōfaat Símyiuh
celebrate,Celebrate,おいわい,おいわい,Oiwai,Célébration,Ehrentag,Celebración,Celebración,Auguri,축하,Chukha,慶祝,庆祝,Qìngzhù / Hingjūk
hold-hands,Hold Hands,てをつなぐ,てをつなぐ,Te o Tsunagu,Mains Jointes,Händchenhalten,Manos Juntas,Manos Juntas,Mano nella Mano,손에손잡기,Son-e-son Japgi,牽手,牵手,Qiānshǒu / Hīnsáu
baby-doll-eyes,Baby-Doll Eyes,つぶらなひとみ,つぶらなひとみ,Tsuburana Hitomi,Regard Touchant,Kulleraugen,Ojitos Tiernos,Ojitos Tiernos,Occhioni Teneri,초롱초롱눈동자,Chorongchorong Nundongja,圓瞳,圆瞳,Yuántóng / Yùhntùhng
nuzzle,Nuzzle,ほっぺすりすり,ほっぺすりすり,Hoppe Suri Suri,Frotte-Frimousse,Wangenrubbler,Moflete Estático,Frote,Elettrococcola,볼부비부비,Bolbubibubi,蹭蹭臉頰,蹭蹭脸颊,Cèngcèng Liǎnjiá / Cangcang Lihmgaap
hold-back,Hold Back,てかげん,てかげん,Tekagen,Retenue,Zurückhaltung,Clemencia,Clemencia,Riguardo,적당히손봐주기,Jeokdanghisonbwajugi,手下留情,手下留情,Shǒuxià Liúqíng / Sáuhah Làuhchìhng
infestation,Infestation,まとわりつく,まとわりつく,Matowaritsuku,Harcèlement,Plage,Acoso,Infestación,Assillo,엉겨붙기,Eonggyeobutgi,死纏爛打,死缠烂打,Sǐchánlàndǎ / Séichìhnlaahndá
power-up-punch,Power-Up Punch,グロウパンチ,グロウパンチ,Gurō Panchi,Poing Boost,Steigerungshieb,Puño Incremento,Puño Incremento,Crescipugno,그로우펀치,Glow Punch,增強拳,增强拳,Zēngqiáng Quán / Jāngkèuhng Kyùhn
oblivion-wing,Oblivion Wing,デスウイング,デスウイング,Desu Uingu,Mort’Ailes,Unheilsschwingen,Ala Mortífera,Ala del Olvido,Ali del Fato,데스윙,Death Wing,死亡之翼,死亡之翼,Sǐwáng-zhī Yì / Séimòhng-jī Yihk
thousand-arrows,Thousand Arrows,サウザンアロー,サウザンアロー,Sauzando Arō,Myria-Flèches,Tausend Pfeile,Mil Flechas,Mil Flechas,Mille Frecce,사우전드애로,Thousand Arrow,千箭齊發,千箭齐发,Qiānjiàn Qífā / Chīnjin Chàihfaat
thousand-waves,Thousand Waves,サウザンウェーブ,サウザンウェーブ,Sauzando Uēbu,Myria-Vagues,Tausend Wellen,Mil Temblores,Mil Temblores,Mille Onde,사우전드웨이브,Thousand Wave,千波激盪,千波激荡,Qiānbō Jīdàng / Chīnbō Gīkdohng
lands-wrath,Land’s Wrath,グランドフォース,グランドフォース,Gurando Fōsu,Force Chtonienne,Bodengewalt,Fuerza Telúrica,Fuerza Telúrica,Forza Tellurica,그라운드포스,Ground Force,大地神力,大地神力,Dàdì Shénlì / Daaihdeih Sàhnlihk
light-of-ruin,Light of Ruin,はめつのひかり,はめつのひかり,Hametsu no Hikari,Lumière du Néant,Lux Calamitatis,Luz Aniquiladora,Luz Aniquiladora,Luce Nefasta,파멸의빛,Pamyeol'uibich,破滅之光,破灭之光,Pòmiè-zhī Guāng / Pomiht-jī Gwōng
origin-pulse,Origin Pulse,こんげんのはどう,こんげんのはどう,Kongen no Hadō,Onde Originelle,Ursprungswoge,Pulso Primigenio,Pulso Primigenio,Primopulsar,근원의파동,Geun'won-ui Padong,根源波動,根源波动,Gēnyuán Bōdòng / Gānyùhn Bōduhng
precipice-blades,Precipice Blades,だんがいのつるぎ,だんがいのつるぎ,Dangai no Tsurugi,Lame Pangéenne,Abgrundsklinge,Filo del Abismo,Filo del Abismo,Spade Telluriche,단애의칼,Dan'ae-ui Kal,斷崖之劍,断崖之剑,Duànyái-zhī Jiàn / Duànyá-zhī Jiàn / Dyuhnngàaih-jī Gim
dragon-ascent,Dragon Ascent,ガリョウテンセイ,ガリョウテンセイ,Garyō Tensei,Draco-Ascension,Zenitstürmer,Ascenso Draco,Ascenso Dracónico,Ascesa del Drago,화룡점정,Hwaryong Jeomjeong,畫龍點睛,画龙点睛,Huàlóngdiǎnjīng / Waahklùhngdímjīng
hyperspace-fury,Hyperspace Fury,いじげんラッシュ,いじげんラッシュ,Ijigen Rasshu,Furie Dimension,Dimensionswahn,Cerco Dimensión,Cerco Dimensión,Urtodimensionale,이차원러시,Daleunchawon Rush,異次元猛攻,异次元猛攻,Yìcìyuán Měnggōng / Yihchiyùhn Máahnggūng
