move,version_group,language,flavor_text
springtide-storm,legends-arceus,en,The user attacks by wrapping the target in fierce winds brimming with love and hate. This move’s additional effects depend on the user’s form.
mystical-power,legends-arceus,fr,"Le lanceur utilise un pouvoir mystique pour se renforcer. S'il excelle en attaque, sa puissance offensive augmente. S'il excelle en défense, sa puissance défensive augmente."
mystical-power,legends-arceus,en,"The user strengthens itself with a mysterious power. If it excels in offense, its offensive stats are raised. If it excels in defense, its defensive stats are raised."
raging-fury,legends-arceus,fr,"Le lanceur attaque en déchaînant de violentes flammes, et devient obsédé par la capacité."
raging-fury,legends-arceus,en,"The user rampages and spews vicious flames to inflict damage on the target, then becomes fixated on using this move."
wave-crash,legends-arceus,fr,"Le lanceur se recouvre entièrement d'eau avant de charger sa cible. Blesse aussi le lanceur, mais avance sa position dans l'ordre d'action."
wave-crash,legends-arceus,en,The user shrouds itself in water and slams into the target with its whole body to inflict damage. This also damages the user and raises the user’s action speed.
chloroblast,legends-arceus,fr,"Le lanceur tire un concentré de chlorophylle sur l'ennemi. Blesse aussi le lanceur, et recule sa position dans l'ordre d'action."
chloroblast,legends-arceus,en,The user launches its amassed chlorophyll to inflict damage on the target. This also damages the user and lowers the user's action speed.
mountain-gale,legends-arceus,fr,Le lanceur envoie un bloc de glace de la taille d'un iceberg sur l'ennemi.
mountain-gale,legends-arceus,en,The user hurls giant chunks of ice at the target to inflict damage.
victory-dance,legends-arceus,fr,"Le lanceur danse pour invoquer la victoire. Augmente la puissance offensive et la puissance défensive du lanceur et multiplie par 1,5 les dégâts des capacités."
victory-dance,legends-arceus,en,The user performs a dance to usher in victory. This raises the user’s offensive and defensive stats and increases the damage dealt by the user’s moves by 50 percent.
headlong-rush,legends-arceus,fr,Le lanceur charge l'ennemi de toutes ses forces. Baisse la puissance défensive du lanceur.
headlong-rush,legends-arceus,en,The user smashes into the target in a full-body tackle. This also lowers the user’s defensive stats.
barb-barrage,legends-arceus,fr,Une multitude de pointes toxiques frappent l'ennemi et peuvent l'empoisonner. La puissance est doublée si la cible souffre d'une altération de statut.
barb-barrage,legends-arceus,en,The user launches countless toxic barbs to inflict damage. This may also poison the target. This move’s power is doubled if the target has a status condition.
esper-wing,legends-arceus,fr,Le lanceur entaille l'ennemi avec ses ailes renforcées par une aura psychique. Taux de critiques élevé. Avance la position du lanceur dans l'ordre d'action.
esper-wing,legends-arceus,en,The user slashes the target with aura-enriched wings. This also raises the user's action speed. This move has a heightened chance of landing a critical hit.
bitter-malice,legends-arceus,fr,Une rancœur glaciale frappe l'ennemi. Peut aussi le geler. La puissance est doublée si la cible souffre d'une altération de statut.
bitter-malice,legends-arceus,en,The user attacks its target with spine-chilling resentment. This may also leave the target with frostbite. This move's power is doubled if the target has a status condition.
shelter,legends-arceus,fr,Rend la peau du lanceur dure comme un mur de fer. Augmente sa puissance défensive. Les attaques de la cible deviennent plus faciles à esquiver.
shelter,legends-arceus,en,"The user makes its skin as hard as an iron shield, raising its defensive stats. Incoming moves also become more likely to miss."
triple-arrows,legends-arceus,fr,Le lanceur frappe du talon et tire trois flèches simultanément. Augmente son taux de critiques. Baisse la puissance défensive de l'ennemi.
triple-arrows,legends-arceus,en,"The user delivers an axe kick, then fires three arrows. This raises the chance of its future attacks landing critical hits and also lowers the target's defensive stats."
infernal-parade,legends-arceus,fr,Une multitude de boules de feu frappent l'ennemi. Elles peuvent aussi le brûler. La puissance double si la cible souffre d'une altération de statut.
infernal-parade,legends-arceus,en,The user attacks with myriad fireballs. This may also leave the target with a burn. This move's power is doubled if the target has a status condition.
ceaseless-edge,legends-arceus,fr,Des lames de coquillages entaillent l'ennemi en visant ses points faibles. Les débris de coquillages disséminés infligent des dégâts à la cible à plusieurs reprises.
ceaseless-edge,legends-arceus,en,"The user slashes its shell blade at the target, aiming to land a critical hit. Shell splinters left behind by this attack will continue to damage the target for several turns."
bleakwind-storm,legends-arceus,fr,"Frappe l'ennemi d'un typhon froid et brutal, qui fait trembler le cœur et le corps. Peut aussi geler la cible."
bleakwind-storm,legends-arceus,en,The user attacks with savagely cold winds that cause both body and spirit to tremble. This may also leave the target with frostbite.
wildbolt-storm,legends-arceus,fr,Le lanceur déclenche un violent typhon orageux dont les rafales et la foudre frappent l'ennemi. Peut aussi paralyser la cible.
wildbolt-storm,legends-arceus,en,The user summons a thunderous tempest and savagely attacks with lightning and wind. This may also leave the target with paralysis.
sandsear-storm,legends-arceus,fr,Le lanceur déclenche un violent typhon mêlé à du sable ardent qui s'abat sur l'ennemi. Brûle la cible.
sandsear-storm,legends-arceus,en,The user attacks by wrapping the target in fierce winds and searingly hot sand. This also leaves the target with a burn.
lunar-blessing,legends-arceus,fr,Le lanceur soigne ses altérations de statut et récupère des PV. Les attaques de la cible deviennent plus faciles à esquiver.
lunar-blessing,legends-arceus,en,The user heals its own status conditions and restores its HP. Incoming moves also become more likely to miss.
take-heart,legends-arceus,fr,Le lanceur fait preuve de bravoure pour soigner ses altérations de statut et augmenter sa puissance offensive et défensive.
take-heart,legends-arceus,en,"The user lifts its spirits, healing its own status conditions and raising its offensive and defensive stats."
