item,version_group,version,type,subtype,location_area_pokedb,location_detail,is_repeatable,is_hidden,is_guaranteed,quantity,probability,cost_amount,currency,required_badge,unlock_condition,notes,source
warding-charm,legends-arceus,legends-arceus,shop,vendor,jubilife-village,Folk Shrine (Charm Lady Lucille),1,0,1,,,,,,,,pokedb
lawing-ball,legends-arceus,,crafting,apricorn,,"Crafting: 1 Apricorn, 1 Sky Tumblestone, and 1 Iron Chunk",1,0,1,,,,,,,,bulbapedia
lawing-ball,legends-arceus,,shop,,,"General store, base camp stores",1,0,1,,,,,,"after completing Request 61: ""Even More New Wares""",,bulbapedia
lawing-ball,legends-arceus,,overworld,,ginkgo-guild-cart,Ginkgo Guild cart (×20; randomly sold by Ginter),1,0,1,20,,,,,,,bulbapedia
lawing-ball,legends-arceus,,npc-gift,,practice-field,Practice field (random balloon minigame reward),1,0,1,,,,,,,,bulbapedia
lawing-ball,legends-arceus,,npc-gift,,cobalt-coastlands,Cobalt Coastlands Balloon Race (random reward),1,0,1,,,,,,,,bulbapedia
wood,legends-arceus,legends-arceus,overworld,recurring,crimson-mirelands,,1,0,1,,,,,,,,pokedb
wood,legends-arceus,legends-arceus,overworld,recurring,cobalt-coastlands,,1,0,1,,,,,,,,pokedb
wood,legends-arceus,legends-arceus,overworld,recurring,coronet-highlands,,1,0,1,,,,,,,,pokedb
wood,legends-arceus,legends-arceus,overworld,recurring,alabaster-icelands,,1,0,1,,,,,,,,pokedb
wood,legends-arceus,legends-arceus,dropped,,,Dropped by wild Scyther,1,0,0,,,,,,,,pokedb
wood,legends-arceus,legends-arceus,overworld,recurring,obsidian-fieldlands,,1,0,1,,,,,,,,pokedb
zap-plate,legends-arceus,,request,,moonview-arena,"Moonview Arena (reward for defeating the noble Hisuian Electrode during Mission 11: ""Scaling Perilous Heights"")",0,0,1,,,,,,,,bulbapedia
potion,legends-arceus,,npc-defeat,,jubilife-village,Jubilife Village (×5; from Volo after defeating him),0,0,1,5,,,,,,,bulbapedia
potion,legends-arceus,,request,,jubilife-village,"Jubilife Village (×3; reward for completing Request 3: ""What Did Shinx's Ears Look Like?"")",0,0,1,3,,,,,,,bulbapedia
potion,legends-arceus,,crafting,,,Crafting: 1 Oran Berry and 1 Medicinal Leek,1,0,1,,,,,,,,bulbapedia
potion,legends-arceus,,shop,,,"General store, base camp stores",1,0,1,,,,,,,,bulbapedia
potion,legends-arceus,,overworld,,ancient-retreat,"Ancient Retreat (sold by Volo, during Missions 14, 15, and 16 only)",1,0,1,,,,,,,,bulbapedia
potion,legends-arceus,,request,,temple-of-sinnoh,"Temple of Sinnoh (sold by Volo, during Mission 17: ""Atop Mount Coronet"" only)",1,0,1,,,,,,,,bulbapedia
potion,legends-arceus,,request,,,"Stone Portal (sold by Volo, during Mission 18: ""The Counterpart"" only)",1,0,1,,,,,,,,bulbapedia
full-restore,legends-arceus,,request,,,"Icepeak Camp (×3; reward for completing Request 81: ""In Search of a Fiery Pokémon"")",0,0,1,3,,,,,,,bulbapedia
full-restore,legends-arceus,,crafting,,,Crafting: 1 Max Potion and 1 Full Heal,1,0,1,,,,,,,,bulbapedia
full-restore,legends-arceus,,shop,,,"General store, base camp stores",1,0,1,,,,,,"after completing Request 71: ""New Wares Yet Again""",,bulbapedia
full-restore,legends-arceus,,request,,temple-of-sinnoh,"Temple of Sinnoh (sold by Volo, during Mission 17: ""Atop Mount Coronet"" only)",1,0,1,,,,,,,,bulbapedia
full-restore,legends-arceus,,request,,,"Stone Portal (sold by Volo, during Mission 18: ""The Counterpart"" only)",1,0,1,,,,,,,,bulbapedia
max-potion,legends-arceus,,crafting,,,Crafting: 1 Sitrus Berry and 1 King's Leaf,1,0,1,,,,,,,,bulbapedia
max-potion,legends-arceus,,shop,,,"General store, base camp stores",1,0,1,,,,,,"after completing Request 61: ""Even More New Wares""",,bulbapedia
max-potion,legends-arceus,,request,,temple-of-sinnoh,"Temple of Sinnoh (sold by Volo, during Mission 17: ""Atop Mount Coronet"" only)",1,0,1,,,,,,,,bulbapedia
max-potion,legends-arceus,,request,,,"Stone Portal (sold by Volo, during Mission 18: ""The Counterpart"" only)",1,0,1,,,,,,,,bulbapedia
hyper-potion,legends-arceus,,request,,tombolo-walk,"Tombolo Walk (×3; reward for completing Request 55: ""Poor, Peckish Piplup"")",0,0,1,3,,,,,,,bulbapedia
hyper-potion,legends-arceus,,crafting,,,Crafting: 1 Super Potion and 1 Vivichoke,1,0,1,,,,,,,,bulbapedia
hyper-potion,legends-arceus,,shop,,,"General store, base camp stores",1,0,1,,,,,,"after completing Request 43: ""More New Wares""",,bulbapedia
hyper-potion,legends-arceus,,request,,temple-of-sinnoh,"Temple of Sinnoh (sold by Volo, during Mission 17: ""Atop Mount Coronet"" only)",1,0,1,,,,,,,,bulbapedia
hyper-potion,legends-arceus,,request,,,"Stone Portal (sold by Volo, during Mission 18: ""The Counterpart"" only)",1,0,1,,,,,,,,bulbapedia
super-potion,legends-arceus,,npc-defeat,,jubilife-village,Jubilife Village (×3; from Volo after defeating him),0,0,1,3,,,,,,,bulbapedia
super-potion,legends-arceus,,crafting,,,Crafting: 1 Potion and 1 Pep-Up Plant,1,0,1,,,,,,,,bulbapedia
super-potion,legends-arceus,,shop,,,"General store, base camp stores",1,0,1,,,,,,"after completing Request 23: ""Getting Ahold of New Wares""",,bulbapedia
super-potion,legends-arceus,,request,,temple-of-sinnoh,"Temple of Sinnoh (sold by Volo, during Mission 17: ""Atop Mount Coronet"" only)",1,0,1,,,,,,,,bulbapedia
super-potion,legends-arceus,,request,,,"Stone Portal (sold by Volo, during Mission 18: ""The Counterpart"" only)",1,0,1,,,,,,,,bulbapedia
full-heal,legends-arceus,,request,,galaxy-hall,"Galaxy Hall (×3; reward for completing Request 34: ""Croagunk's Curative Poison"")",0,0,1,3,,,,,,,bulbapedia
full-heal,legends-arceus,,crafting,,,"Crafting: 1 Cheri Berry, 1 Pecha Berry, 1 Rawst Berry, and 1 Aspear Berry",1,0,1,,,,,,,,bulbapedia
full-heal,legends-arceus,,shop,,,"General store, base camp stores",1,0,1,,,,,,"after completing Request 43: ""More New Wares""",,bulbapedia
full-heal,legends-arceus,,request,,temple-of-sinnoh,"Temple of Sinnoh (sold by Volo, during Mission 17: ""Atop Mount Coronet"" only)",1,0,1,,,,,,,,bulbapedia
full-heal,legends-arceus,,request,,,"Stone Portal (sold by Volo, during Mission 18: ""The Counterpart"" only)",1,0,1,,,,,,,,bulbapedia
revive,legends-arceus,,request,,jubilife-village,"Jubilife Village (×3; reward for completing Request 14: ""Berry Helpful"")",0,0,1,3,,,,,,,bulbapedia
revive,legends-arceus,,crafting,,,Crafting: 1 Vivichoke and 2 Medicinal Leeks,1,0,1,,,,,,,,bulbapedia
revive,legends-arceus,,shop,,,"General store, base camp stores",1,0,1,,,,,,,,bulbapedia
revive,legends-arceus,,overworld,,ancient-retreat,"Ancient Retreat (sold by Volo, during Missions 14, 15, and 16 only)",1,0,1,,,,,,,,bulbapedia
revive,legends-arceus,,request,,temple-of-sinnoh,"Temple of Sinnoh (sold by Volo, during Mission 17: ""Atop Mount Coronet"" only)",1,0,1,,,,,,,,bulbapedia
revive,legends-arceus,,request,,,"Stone Portal (sold by Volo, during Mission 18: ""The Counterpart"" only)",1,0,1,,,,,,,,bulbapedia
max-revive,legends-arceus,,request,,jubilife-village,"Jubilife Village (from a child during Mission 17: ""Atop Mount Coronet"")",0,0,1,,,,,,,,bulbapedia
max-revive,legends-arceus,,request,,diamond-settlement,"Diamond Settlement (reward for completing Request 32: ""The Headache-Stricken Psyduck"")",0,0,1,,,,,,,,bulbapedia
max-revive,legends-arceus,,request,,bonechill-wastes,"Bonechill Wastes (×2; reward for completing Request 74: ""A Bit of Help from Blissey"")",0,0,1,2,,,,,,,bulbapedia
max-revive,legends-arceus,,crafting,,,Crafting: 1 Revive and 2 King's Leaves,1,0,1,,,,,,,,bulbapedia
max-revive,legends-arceus,,shop,,,"General store, base camp stores",1,0,1,,,,,,"after completing Request 71: ""New Wares Yet Again""",,bulbapedia
max-revive,legends-arceus,,overworld,,ginkgo-guild-cart,Ginkgo Guild cart (×3; randomly sold by Ginter),1,0,1,3,,,,,,,bulbapedia
max-revive,legends-arceus,,request,,temple-of-sinnoh,"Temple of Sinnoh (sold by Volo, during Mission 17: ""Atop Mount Coronet"" only)",1,0,1,,,,,,,,bulbapedia
max-revive,legends-arceus,,request,,,"Stone Portal (sold by Volo, during Mission 18: ""The Counterpart"" only)",1,0,1,,,,,,,,bulbapedia
max-ether,legends-arceus,,crafting,,,Crafting: 1 Leppa Berry and 2 Pep-Up Plants,1,0,1,,,,,,,,bulbapedia
max-elixir,legends-arceus,,crafting,,,Crafting: 1 Max Ether and 2 King's Leaves,1,0,1,,,,,,,,bulbapedia
rare-candy,legends-arceus,,request,,jubilife-village,"Jubilife Village (reward for completing Request 8: ""Bothersome Bidoof"", Request 15: ""Balloon Race in the Fieldlands"", Request 28: ""Measuring Your Compatibility"", Request 52: ""Eevee's Evolutions"", Request 85: ""At Home under the Eaves"")",0,0,1,,,,,,,,bulbapedia
rare-candy,legends-arceus,,npc-gift,,jubilife-village,Jubilife Village (from Vessa for collecting 10 wisps),0,0,1,,,,,,,,bulbapedia
rare-candy,legends-arceus,,request,,sacred-plaza,"Sacred Plaza (reward for completing Request 87: ""Rolling with Spheal"")",0,0,1,,,,,,,,bulbapedia
rare-candy,legends-arceus,,npc-gift,,galaxy-hall,Galaxy Hall (×10; from Cyllene upon achieving Ninth Star rank),0,0,1,10,,,,,,,bulbapedia
rare-candy,legends-arceus,,npc-gift,,galaxy-hall,Galaxy Hall (×20; from Cyllene upon achieving Full Star rank),0,0,1,20,,,,,,,bulbapedia
rare-candy,legends-arceus,,overworld,,trading-post,"Trading post (1,000 MP)",1,0,1,,,,,,,,bulbapedia
rare-candy,legends-arceus,,npc-gift,,,Any Balloon Race (perfect clear reward),1,0,1,,,,,,,,bulbapedia
old-gateau,legends-arceus,,crafting,,,"Crafting: 1 Plump Beans, 1 Dazzling Honey, 1 Sootfoot Root, and 1 Cake-Lure Base",1,0,1,,,,,,,,bulbapedia
dire-hit,legends-arceus,,crafting,,,Crafting: 2 Direshrooms and 1 Candy Truffle,1,0,1,,,,,,,,bulbapedia
red-shard,legends-arceus,,npc-gift,,obsidian-falls,"Obsidian Falls (from a man, if the player chose his right hand)",0,0,1,,,,,,,,bulbapedia
red-shard,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
blue-shard,legends-arceus,,npc-gift,,obsidian-falls,"Obsidian Falls (from a man, if the player chose his left hand)",0,0,1,,,,,,,,bulbapedia
blue-shard,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
green-shard,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
sun-stone,legends-arceus,,request,,jubilife-village,"Jubilife Village (reward for completing Request 85: ""At Home under the Eaves"")",0,0,1,,,,,,,,bulbapedia
sun-stone,legends-arceus,,overworld,,trading-post,"Trading post (1,000 MP)",1,0,1,,,,,,,,bulbapedia
sun-stone,legends-arceus,,overworld,,ginkgo-guild-cart,"Ginkgo Guild cart (randomly sold by Ginter, as ""Sunlike Rock"")",1,0,1,,,,,,,,bulbapedia
sun-stone,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
moon-stone,legends-arceus,,overworld,,trading-post,"Trading post (1,000 MP)",1,0,1,,,,,,,,bulbapedia
moon-stone,legends-arceus,,overworld,,ginkgo-guild-cart,"Ginkgo Guild cart (randomly sold by Ginter, as ""Moonlike Rock"")",1,0,1,,,,,,,,bulbapedia
moon-stone,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
moon-stone,legends-arceus,,overworld,,,Sometimes found by Ursaluna,1,0,1,,,,,,,,bulbapedia
fire-stone,legends-arceus,,overworld,,,"Red ore deposits (Obsidian Fieldlands, Crimson Mirelands, Cobalt Coastlands)",1,0,1,,,,,,,,bulbapedia
fire-stone,legends-arceus,,overworld,,,Black ore deposits (Cobalt Coastlands),1,0,1,,,,,,,,bulbapedia
fire-stone,legends-arceus,,overworld,,trading-post,"Trading post (1,000 MP)",1,0,1,,,,,,,,bulbapedia
fire-stone,legends-arceus,,overworld,,ginkgo-guild-cart,"Ginkgo Guild cart (randomly sold by Ginter, as ""Flame-Patterned Rock"")",1,0,1,,,,,,,,bulbapedia
fire-stone,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
fire-stone,legends-arceus,,overworld,,,Path of Tenacity,1,0,1,,,,,,,,bulbapedia
thunder-stone,legends-arceus,,overworld,,,"Black ore deposits (Obsidian Fieldlands, Crimson Mirelands, Cobalt Coastlands)",1,0,1,,,,,,,,bulbapedia
thunder-stone,legends-arceus,,overworld,,,"Blue ore deposits (Crimson Mirelands, Cobalt Coastlands)",1,0,1,,,,,,,,bulbapedia
thunder-stone,legends-arceus,,overworld,,trading-post,"Trading post (1,000 MP)",1,0,1,,,,,,,,bulbapedia
thunder-stone,legends-arceus,,overworld,,ginkgo-guild-cart,"Ginkgo Guild cart (randomly sold by Ginter, as ""Lightning-Bolt Rock"")",1,0,1,,,,,,,,bulbapedia
thunder-stone,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
water-stone,legends-arceus,,overworld,,,"Blue ore deposits (Obsidian Fieldlands, Crimson Mirelands, Cobalt Coastlands)",1,0,1,,,,,,,,bulbapedia
water-stone,legends-arceus,,overworld,,trading-post,"Trading post (1,000 MP)",1,0,1,,,,,,,,bulbapedia
water-stone,legends-arceus,,overworld,,ginkgo-guild-cart,"Ginkgo Guild cart (randomly sold by Ginter, as ""Water-Droplet Rock"")",1,0,1,,,,,,,,bulbapedia
water-stone,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
leaf-stone,legends-arceus,,request,,jubilife-village,"Jubilife Village (reward for completing Request 73: ""Which Is the Real Burmy?"")",0,0,1,,,,,,,,bulbapedia
leaf-stone,legends-arceus,,request,,ginkgo-landing,"Ginkgo Landing (reward for completing Request 106: ""Adaman's Hope"")",0,0,1,,,,,,,,bulbapedia
leaf-stone,legends-arceus,,overworld,,,"Leaf piles (Crimson Mirelands, Cobalt Coastlands, Coronet Highlands)",1,0,1,,,,,,,,bulbapedia
leaf-stone,legends-arceus,,overworld,,trading-post,"Trading post (1,000 MP)",1,0,1,,,,,,,,bulbapedia
leaf-stone,legends-arceus,,overworld,,ginkgo-guild-cart,"Ginkgo Guild cart (randomly sold by Ginter, as ""Leaf-Imprinted Rock"")",1,0,1,,,,,,,,bulbapedia
leaf-stone,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
stardust,legends-arceus,,request,,jubilife-village,"Jubilife Village (reward for completing Request 7: ""Playing With Drifloon"")",0,0,1,,,,,,,,bulbapedia
stardust,legends-arceus,,request,,jubilife-village,"Jubilife Village (×3; reward for completing Request 39: ""All About Magikarp"")",0,0,1,3,,,,,,,bulbapedia
stardust,legends-arceus,,overworld,,,"Shiny ore deposits (Obsidian Fieldlands, Crimson Mirelands, Cobalt Coastlands, Coronet Highlands, Alabaster Icelands)",1,0,1,,,,,,,,bulbapedia
stardust,legends-arceus,,npc-gift,,alabaster-icelands,Alabaster Icelands Balloon Race (random reward),1,0,1,,,,,,,,bulbapedia
stardust,legends-arceus,,wild-pokemon,,,Dropped by the Miss Fortunes after rematches,1,0,1,,,,,,,,bulbapedia
stardust,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
star-piece,legends-arceus,,request,,jubilife-village,"Jubilife Village (reward for completing Request 50: ""Double the Tails, Double the Fun"")",0,0,1,,,,,,,,bulbapedia
star-piece,legends-arceus,,request,,galaxy-hall,"Galaxy Hall (reward for completing Request 58: ""Gone Astray...in the Coastlands"")",0,0,1,,,,,,,,bulbapedia
star-piece,legends-arceus,,request,,galaxy-hall,"Galaxy Hall (×2; reward for completing Request 69: ""Gone Astray...in the Highlands"")",0,0,1,2,,,,,,,bulbapedia
star-piece,legends-arceus,,request,,galaxy-hall,"Galaxy Hall (×3; reward for completing Request 77: ""Gone Astray...in the Fieldlands"")",0,0,1,3,,,,,,,bulbapedia
star-piece,legends-arceus,,request,,galaxy-hall,"Galaxy Hall (×5; reward for completing Request 86: ""Gone Astray...in the Icelands"")",0,0,1,5,,,,,,,bulbapedia
star-piece,legends-arceus,,request,,jubilife-village,"Jubilife Village (×3; reward for completing Request 99: ""Tricky Treat Strategy"")",0,0,1,3,,,,,,,bulbapedia
star-piece,legends-arceus,,crafting,,,"Crafting: 3 Red Shards, 3 Blue Shards, 3 Green Shards, and 1 Stardust",1,0,1,,,,,,,,bulbapedia
star-piece,legends-arceus,,overworld,,,Sometimes found by Ursaluna,1,0,1,,,,,,,,bulbapedia
star-piece,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
nugget,legends-arceus,,request,,jubilife-village,"Jubilife Village (reward for completing Request 26: ""Aim for the Big Leagues!"")",0,0,1,,,,,,,,bulbapedia
nugget,legends-arceus,,request,,,"Coastlands Camp (reward for completing Request 47: ""Balloon Race in the Coastlands"")",0,0,1,,,,,,,,bulbapedia
nugget,legends-arceus,,request,,,"Icepeak Camp (×3; reward for completing Request 79: ""Balloon Race in the Icelands"")",0,0,1,3,,,,,,,bulbapedia
nugget,legends-arceus,,request,,,"Summit Camp (×5; reward for completing Request 105: ""The Ultimate Balloon Race"")",0,0,1,5,,,,,,,bulbapedia
nugget,legends-arceus,,overworld,,,"Chests (Cobalt Coastlands, Coronet Highlands)",1,0,1,,,,,,,,bulbapedia
nugget,legends-arceus,,npc-gift,,practice-field,Practice field (random balloon minigame reward),1,0,1,,,,,,,,bulbapedia
nugget,legends-arceus,,npc-gift,,,Any Balloon Race (perfect clear reward),1,0,1,,,,,,,,bulbapedia
nugget,legends-arceus,,wild-pokemon,,,Dropped by the Miss Fortunes after rematches,1,0,1,,,,,,,,bulbapedia
nugget,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
shiny-stone,legends-arceus,,request,,bonechill-wastes,"Bonechill Wastes (reward for completing Request 74: ""A Bit of Help from Blissey"")",0,0,1,,,,,,,,bulbapedia
shiny-stone,legends-arceus,,overworld,,,"Red ore deposits (Coronet Highlands, Alabaster Icelands)",1,0,1,,,,,,,,bulbapedia
shiny-stone,legends-arceus,,overworld,,trading-post,"Trading post (1,200 MP)",1,0,1,,,,,,,,bulbapedia
shiny-stone,legends-arceus,,overworld,,ginkgo-guild-cart,"Ginkgo Guild cart (randomly sold by Ginter, as ""Dazzling Rock"")",1,0,1,,,,,,,,bulbapedia
shiny-stone,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
shiny-stone,legends-arceus,,overworld,,,Path of Tenacity,1,0,1,,,,,,,,bulbapedia
dusk-stone,legends-arceus,,npc-gift,,jubilife-village,Jubilife Village (from Vessa for collecting 30 wisps),0,0,1,,,,,,,,bulbapedia
dusk-stone,legends-arceus,,overworld,,,"Black ore deposits (Coronet Highlands, Alabaster Icelands)",1,0,1,,,,,,,,bulbapedia
dusk-stone,legends-arceus,,overworld,,trading-post,"Trading post (1,200 MP)",1,0,1,,,,,,,,bulbapedia
dusk-stone,legends-arceus,,overworld,,ginkgo-guild-cart,"Ginkgo Guild cart (randomly sold by Ginter, as ""Deep-Dark Rock"")",1,0,1,,,,,,,,bulbapedia
dusk-stone,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
dawn-stone,legends-arceus,,request,,galaxy-hall,"Galaxy Hall (reward for completing Request 82: ""Traces of a Lost Village"")",0,0,1,,,,,,,,bulbapedia
dawn-stone,legends-arceus,,request,,obsidian-fieldlands,"Obsidian Fieldlands (reward for completing Request 102: ""Daybreak"")",0,0,1,,,,,,,,bulbapedia
dawn-stone,legends-arceus,,overworld,,,"Blue ore deposits (Coronet Highlands, Alabaster Icelands)",1,0,1,,,,,,,,bulbapedia
dawn-stone,legends-arceus,,overworld,,trading-post,"Trading post (1,200 MP)",1,0,1,,,,,,,,bulbapedia
dawn-stone,legends-arceus,,overworld,,ginkgo-guild-cart,"Ginkgo Guild cart (randomly sold by Ginter, as ""Eye-Like Rock"")",1,0,1,,,,,,,,bulbapedia
dawn-stone,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
oval-stone,legends-arceus,,npc-gift,,jubilife-village,Jubilife Village (from Vessa for collecting 5 wisps),0,0,1,,,,,,,,bulbapedia
oval-stone,legends-arceus,,overworld,,trading-post,Trading post (400 MP),1,0,1,,,,,,,,bulbapedia
oval-stone,legends-arceus,,overworld,,ginkgo-guild-cart,"Ginkgo Guild cart (randomly sold by Ginter, as ""Egg-Like Rock"")",1,0,1,,,,,,,,bulbapedia
cheri-berry,legends-arceus,,berry-tree,,,Blue and red berry trees (Obsidian Fieldlands),1,0,1,,,,,,,,bulbapedia
cheri-berry,legends-arceus,,wild-pokemon,,,"Dropped by wild Shinx, Luxio, Luxray, Elekid, Electabuzz, and Electivire",1,0,1,,,,,,,,bulbapedia
cheri-berry,legends-arceus,,overworld,,ginkgo-guild-cart,Ginkgo Guild cart (Tuli),1,0,1,,,,,,,,bulbapedia
chesto-berry,legends-arceus,,berry-tree,,,"Blue berry trees (Crimson Mirelands, Coronet Highlands, Alabaster Icelands)",1,0,1,,,,,,,,bulbapedia
chesto-berry,legends-arceus,,wild-pokemon,,,"Dropped by wild Zubat, Golbat, Crobat, Mime Jr., Mr. Mime, Gastly, Haunter, and Gengar",1,0,1,,,,,,,,bulbapedia
chesto-berry,legends-arceus,,overworld,,ginkgo-guild-cart,Ginkgo Guild cart (Tuli),1,0,1,,,,,,,,bulbapedia
pecha-berry,legends-arceus,,berry-tree,,,"Pink berry trees (Cobalt Coastlands, Crimson Mirelands)",1,0,1,,,,,,,,bulbapedia
pecha-berry,legends-arceus,,wild-pokemon,,,"Dropped by wild Tentacool, Tentacruel, Stunky, and Skuntank",1,0,1,,,,,,,,bulbapedia
pecha-berry,legends-arceus,,overworld,,ginkgo-guild-cart,Ginkgo Guild cart (Tuli),1,0,1,,,,,,,,bulbapedia
rawst-berry,legends-arceus,,berry-tree,,,Blue berry trees (Cobalt Coastlands),1,0,1,,,,,,,,bulbapedia
rawst-berry,legends-arceus,,wild-pokemon,,,"Dropped by wild Ponyta, Rapidash, Hisuian Growlithe, Hisuian Arcanine, Vulpix, Ninetales, Magby, Magmar, and Magmortar",1,0,1,,,,,,,,bulbapedia
rawst-berry,legends-arceus,,request,,ginkgo-guild-cart,"Ginkgo Guild cart (Tuli, after starting Mission 10: ""The Lordless Island"")",1,0,1,,,,,,,,bulbapedia
aspear-berry,legends-arceus,,berry-tree,,,"Yellow berry trees (Crimson Mirelands, Coronet Highlands, Alabaster Icelands)",1,0,1,,,,,,,,bulbapedia
aspear-berry,legends-arceus,,wild-pokemon,,,Dropped by wild Vulpix,1,0,1,,,,,,,,bulbapedia
aspear-berry,legends-arceus,,request,,ginkgo-guild-cart,"Ginkgo Guild cart (Tuli, after starting Mission 10: ""The Lordless Island"")",1,0,1,,,,,,,,bulbapedia
leppa-berry,legends-arceus,,berry-tree,,,"Red berry trees (Obsidian Fieldlands, Crimson Mirelands, Cobalt Coastlands, Coronet Highlands, Alabaster Icelands)",1,0,1,,,,,,,,bulbapedia
leppa-berry,legends-arceus,,berry-tree,,,Blue berry trees (Obsidian Fieldlands),1,0,1,,,,,,,,bulbapedia
leppa-berry,legends-arceus,,wild-pokemon,,,"Dropped by wild Togepi, Togetic, Togekiss, Cleffa, Clefairy, and Clefable",1,0,1,,,,,,,,bulbapedia
leppa-berry,legends-arceus,,overworld,,,Farm (usual berry harvest),1,0,1,,,,,,,,bulbapedia
leppa-berry,legends-arceus,,request,,ginkgo-guild-cart,"Ginkgo Guild cart (Tuli, after starting Mission 11: ""Scaling Perilous Heights"")",1,0,1,,,,,,,,bulbapedia
oran-berry,legends-arceus,,request,,jubilife-village,"Jubilife Village (×5; reward for completing Request 4: ""Big Buizel, Little Buizel"")",0,0,1,5,,,,,,,bulbapedia
oran-berry,legends-arceus,,berry-tree,,,"Blue berry trees (Obsidian Fieldlands, Crimson Mirelands, Cobalt Coastlands, Coronet Highlands, Alabaster Icelands)",1,0,1,,,,,,,,bulbapedia
oran-berry,legends-arceus,,berry-tree,,,"Yellow berry trees (Obsidian Fieldlands, Coronet Highlands)",1,0,1,,,,,,,,bulbapedia
oran-berry,legends-arceus,,wild-pokemon,,,"Dropped by wild Rowlet, Cyndaquil, Oshawott, Bidoof, Bibarel, Pichu, Pikachu, Chimchar, Buneary, Lopunny, Barboach, Pachirisu, Turtwig, and Piplup",1,0,1,,,,,,,,bulbapedia
oran-berry,legends-arceus,,overworld,,ginkgo-guild-cart,Ginkgo Guild cart (Tuli),1,0,1,,,,,,,,bulbapedia
lum-berry,legends-arceus,,wild-pokemon,,,"Dropped by wild Burmy, Wormadam, Cherubi, Cherrim, Petilil, and Hisuian Lilligant",1,0,1,,,,,,,,bulbapedia
lum-berry,legends-arceus,,overworld,,,Farm (usual Berry harvest),1,0,1,,,,,,,,bulbapedia
sitrus-berry,legends-arceus,,request,,grandtree-arena,"Grandtree Arena (×3; from Irida during Mission 7: ""The Frenzy of the Lord of the Woods"")",0,0,1,3,,,,,,,bulbapedia
sitrus-berry,legends-arceus,,request,,,"Mirelands Camp (×3; reward for completing Request 35: ""Battling with Pachirisu"")",0,0,1,3,,,,,,,bulbapedia
sitrus-berry,legends-arceus,,berry-tree,,,"Yellow berry trees (Obsidian Fieldlands, Coronet Highlands)",1,0,1,,,,,,,,bulbapedia
sitrus-berry,legends-arceus,,berry-tree,,,"Blue berry trees (Crimson Mirelands, Cobalt Coastlands, Alabaster Icelands)",1,0,1,,,,,,,,bulbapedia
sitrus-berry,legends-arceus,,wild-pokemon,,,"Dropped by wild Dartrix, Hisuian Decidueye, Quilava, Hisuian Typhlosion, Dewott, Hisuian Samurott, Raichu, Snorlax, Whiscash, Grotle, Torterra, Prinplup, Empoleon, Monferno, Infernape, Munchlax, and Ursaluna",1,0,1,,,,,,,,bulbapedia
sitrus-berry,legends-arceus,,overworld,,,Farm (usual berry harvest),1,0,1,,,,,,,,bulbapedia
sitrus-berry,legends-arceus,,request,,ginkgo-guild-cart,"Ginkgo Guild cart (Tuli, after starting Mission 11: ""Scaling Perilous Heights"")",1,0,1,,,,,,,,bulbapedia
figy-berry,legends-arceus,,overworld,,,Farm (special berry harvest),1,0,1,,,,,,,,bulbapedia
wiki-berry,legends-arceus,,overworld,,,Farm (special berry harvest),1,0,1,,,,,,,,bulbapedia
mago-berry,legends-arceus,,overworld,,,Farm (special berry harvest),1,0,1,,,,,,,,bulbapedia
aguav-berry,legends-arceus,,request,,,"Mirelands or Bogbound Camp (×20; from Melli during Request 97: ""Massive Mass Outbreak in the Mirelands"")",0,0,1,20,,,,,,,bulbapedia
aguav-berry,legends-arceus,,request,,,"Snowfields or Icepeak Camp (×30; from Lian during Request 99: ""Tricky Treat Strategy"")",0,0,1,30,,,,,,,bulbapedia
aguav-berry,legends-arceus,,npc-gift,,,Possible Balloon Race reward,1,0,1,,,,,,,,bulbapedia
aguav-berry,legends-arceus,,overworld,,,Massive mass outbreaks,1,0,1,,,,,,,,bulbapedia
aguav-berry,legends-arceus,,overworld,,,Farm (special berry harvest),1,0,1,,,,,,,,bulbapedia
iapapa-berry,legends-arceus,,overworld,,,Farm (special berry harvest),1,0,1,,,,,,,,bulbapedia
