identifier,column,pokeapi,pokedb
shadow-rave,name_de,Cryptobeben,Cryptoblitz
shadow-rave,name_es,Rabia Oscura,Rayo Oscuro
shadow-rave,name_it,Ombrolancia,Fulminombra
shadow-storm,name_ja,ダークストーム,ダークフリーズ
shadow-storm,name_fr,Typhon Noir,Froid Noir
shadow-storm,name_de,Cryptosturm,Cryptofrost
shadow-storm,name_es,Tifón Oscuro,Hielo Oscuro
shadow-storm,name_it,Turbinombra,Gelodombra
shadow-wave,name_ja,ダークウェーブ,ダークブラスト
shadow-wave,name_fr,Ondo Noire,Aéro Noir
shadow-wave,name_de,Cryptowelle,Cryptostrahl
shadow-wave,name_es,Onda Oscura,Soplo Oscuro
shadow-wave,name_it,Ondascura,Ombrolame
shadow-down,name_ja,ダークダウン,ダークウェザー
shadow-down,name_fr,Souffle Noir,Ciel Noir
shadow-down,name_de,Cryptobann,Cryptowetter
shadow-down,name_es,Ocaso Oscuro,Cielo Oscuro
shadow-down,name_it,Declinoscuro,Cieloscuro
shadow-half,name_ja,ダークハーフ,ダークホールド
shadow-half,name_fr,Chute Noire,Blocage Noir
shadow-half,name_de,Cryptozorn,Cryptofessel
shadow-half,name_es,Mitad Oscura,Traba Oscura
shadow-half,name_it,Iraoscura,Retedombra
shadow-hold,accuracy,,80
shadow-hold,name_ja,ダークホールド,ダークミスト
shadow-hold,name_fr,Blocage Noir,Brume Noire
shadow-hold,name_de,Cryptofessel,Cryptodunst
shadow-hold,name_es,Traba Oscura,Bruma Oscura
shadow-hold,name_it,Retedombra,Nebbiascura
shadow-mist,name_ja,ダークミスト,ダークパニック
shadow-mist,name_fr,Brume Noire,Folie Noire
shadow-mist,name_de,Cryptodunst,Cryptochaos
shadow-mist,name_es,Bruma Oscura,Miedo Oscuro
shadow-mist,name_it,Nebbiascura,Ombropanico
shadow-panic,accuracy,90,60
shadow-panic,name_ja,ダークパニック,ダークダウン
shadow-panic,name_fr,Folie Noire,Souffle Noir
shadow-panic,name_de,Cryptochaos,Cryptobann
shadow-panic,name_es,Miedo Oscuro,Ocaso Oscuro
shadow-panic,name_it,Ombrapanico,Declinoscuro
shadow-shed,accuracy,,100
shadow-sky,accuracy,,100
shadow-sky,name_ja,ダークウェザー,ダークハーフ
shadow-sky,name_fr,Ciel Noir,Chute Noire
shadow-sky,name_de,Cryptowetter,Cryptozorn
shadow-sky,name_es,Cielo Oscuro,Mitad Oscura
shadow-sky,name_it,Cieloscuro,Iraoscura
breakneck-blitz,_row_,missing,present
all-out-pummeling,_row_,missing,present
supersonic-skystrike,_row_,missing,present
acid-downpour,_row_,missing,present
tectonic-rage,_row_,missing,present
continental-crush,_row_,missing,present
savage-spin-out,_row_,missing,present
never-ending-nightmare,_row_,missing,present
corkscrew-crash,_row_,missing,present
inferno-overdrive,_row_,missing,present
hydro-vortex,_row_,missing,present
bloom-doom,_row_,missing,present
gigavolt-havoc,_row_,missing,present
shattered-psyche,_row_,missing,present
subzero-slammer,_row_,missing,present
devastating-drake,_row_,missing,present
black-hole-eclipse,_row_,missing,present
g-max-vine-lash,_row_,missing,present
g-max-wildfire,_row_,missing,present
g-max-cannonade,_row_,missing,present
g-max-befuddle,_row_,missing,present
g-max-volt-crash,_row_,missing,present
g-max-gold-rush,_row_,missing,present
g-max-chi-strike,_row_,missing,present
g-max-terror,_row_,missing,present
g-max-foam-burst,_row_,missing,present
g-max-resonance,_row_,missing,present
g-max-cuddle,_row_,missing,present
g-max-replenish,_row_,missing,present
g-max-malodor,_row_,missing,present
g-max-meltdown,_row_,missing,present
g-max-drum-solo,_row_,missing,present
g-max-fireball,_row_,missing,present
g-max-hydrosnipe,_row_,missing,present
g-max-wind-rage,_row_,missing,present
g-max-gravitas,_row_,missing,present
g-max-stonesurge,_row_,missing,present
g-max-volcalith,_row_,missing,present
g-max-tartness,_row_,missing,present
g-max-sweetness,_row_,missing,present
g-max-sandblast,_row_,missing,present
g-max-stun-shock,_row_,missing,present
g-max-centiferno,_row_,missing,present
g-max-smite,_row_,missing,present
g-max-snooze,_row_,missing,present
g-max-finale,_row_,missing,present
g-max-steelsurge,_row_,missing,present
g-max-depletion,_row_,missing,present
g-max-one-blow,_row_,missing,present
g-max-rapid-flow,_row_,missing,present
